LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_2.rt,key_resp_2.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_2.key_resp_3.keys,loop_2.key_resp_2.rt,loop_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,10,10,0,2.1,-2.1,2.1,-2.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,10,10,10,6.050980500003789,,,,6.036876700003631,6.050980500003789,6.050980500003789,6.050980500003789,6.050980500003789,6.336626400006935,None,6.336890000005951,6.3509772999968845,6.3509772999968845,6.3509772999968845,6.3509772999968845,6.636478600004921,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,11,11,0,2.2,-2.2,2.2,-2.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,11,11,11,6.650950199982617,,,,6.6368415000033565,6.650950199982617,6.650950199982617,6.650950199982617,6.650950199982617,6.936715299991192,None,6.936983699997654,6.950784199987538,6.950784199987538,6.950784199987538,6.950784199987538,7.227255999983754,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,12,12,0,2.3,-2.3,2.3,-2.3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,12,12,12,7.236860100005288,,,,7.228399099985836,7.236860100005288,7.236860100005288,7.236860100005288,7.236860100005288,7.52701469999738,None,7.527816299989354,7.536305899993749,7.536305899993749,7.536305899993749,7.536305899993749,7.839940300007584,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,13,13,0,2.4,-2.4,2.4,-2.4,2.2,-2.2,-2.2,2.2,['up'],None,[0.05380200000945479],[0.07971829999587499],0,0,0,1,,,,,0,13,13,13,7.85177159999148,,,,7.8406784999824595,7.85177159999148,7.85177159999148,7.85177159999148,7.85177159999148,8.136479899985716,['up'],8.136760399997002,8.151108099991689,8.151108099991689,8.151108099991689,8.151108099991689,8.436443699989468,None,[0.05380200000945479],[0.07971829999587499],444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,14,14,0,2.5,-2.5,2.5,-2.5,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,14,14,14,8.450838699995074,,,,8.43681009998545,8.450838699995074,8.450838699995074,8.450838699995074,8.450838699995074,8.736594799993327,None,8.736846199986758,8.750809999997728,8.750809999997728,8.750809999997728,8.750809999997728,9.036445599980652,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,15,15,0,2.6,-2.6,2.6,-2.6,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,15,15,15,9.051048399996944,,,,9.03680400000303,9.051048399996944,9.051048399996944,9.051048399996944,9.051048399996944,9.336554599984083,None,9.336807599989697,9.350927499996033,9.350927499996033,9.350927499996033,9.350927499996033,9.636475499981316,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,16,16,0,2.7,-2.7,2.7,-2.7,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,16,16,16,9.650921799999196,,,,9.636811500007752,9.650921799999196,9.650921799999196,9.650921799999196,9.650921799999196,9.936568100005388,None,9.936820400005672,9.950973500002874,9.950973500002874,9.950973500002874,9.950973500002874,10.242108999984339,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,17,17,0,2.8,-2.8,2.8,-2.8,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,17,17,17,10.252556299994467,,,,10.243090500007384,10.252556299994467,10.252556299994467,10.252556299994467,10.252556299994467,10.538565299997572,None,10.538970299996436,10.551509799988708,10.551509799988708,10.551509799988708,10.551509799988708,10.839039799990132,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,18,18,0,2.9,-2.9,2.9,-2.9,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,18,18,18,10.851749699999345,,,,10.839689199987333,10.851749699999345,10.851749699999345,10.851749699999345,10.851749699999345,11.138979499984998,None,11.13943839998683,11.151555299991742,11.151555299991742,11.151555299991742,11.151555299991742,11.439037400006782,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,19,19,0,3,-3,3,-3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,19,19,19,11.451702099991962,,,,11.43968889999087,11.451702099991962,11.451702099991962,11.451702099991962,11.451702099991962,11.739053099998273,None,11.739507199992659,11.751749199989717,11.751749199989717,11.751749199989717,11.751749199989717,12.031240899988916,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,20,20,0,3.1,-3.1,3.1,-3.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,20,20,20,12.051072700007353,,,,12.032701799995266,12.051072700007353,12.051072700007353,12.051072700007353,12.051072700007353,12.336385899980087,None,12.336621800001012,12.35074579998036,12.35074579998036,12.35074579998036,12.35074579998036,12.636482800007798,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,21,21,0,3.2,-3.2,3.2,-3.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,21,21,21,12.65090959999361,,,,12.63684709998779,12.65090959999361,12.65090959999361,12.65090959999361,12.65090959999361,12.936555399995996,None,12.936810199986212,12.950940499984426,12.950940499984426,12.950940499984426,12.950940499984426,13.23638079999364,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,22,22,0,3.3,-3.3,3.3,-3.3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,22,22,22,13.250930299982429,,,,13.236739799991483,13.250930299982429,13.250930299982429,13.250930299982429,13.250930299982429,13.53633709999849,None,13.536599399987608,13.550905999989482,13.550905999989482,13.550905999989482,13.550905999989482,13.836333599989302,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,23,23,0,3.4,-3.4,3.4,-3.4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,23,23,23,13.850896799995098,,,,13.836692099983338,13.850896799995098,13.850896799995098,13.850896799995098,13.850896799995098,14.136566400004085,None,14.136821299995063,14.150776599999517,14.150776599999517,14.150776599999517,14.150776599999517,14.436629400006495,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
,24,24,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,,,,,,,,,,,,,0,24,24,24,14.450884699996095,,,,14.436964399996214,14.450884699996095,14.450884699996095,14.450884699996095,14.450884699996095,14.73653930000728,None,14.736795499979053,14.750855599995703,14.750855599995703,14.750855599995703,14.750855599995703,,,,,,,,,,,,
