LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,text.started,trial.stopped,loop_1.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,text_2.started,trial_2.stopped,loop_1.key_resp_3.keys,loop_1.key_resp_3.rt,loop_1.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.016065599999819824,0.01648559999966892,,,,,,,,,,,,,,,,,,,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,0,0,0,0.09665299999960553,,,,0.020975999999791384,0.02133109999977023,0.03226409999979296,0.09665299999960553,0.09665299999960553,0.09665299999960553,0.09665299999960553,0.09665299999960553,0.33143269999982294,None,0.33165239999971163,0.34589239999968413,0.34589239999968413,0.34589239999968413,0.34589239999968413,0.34589239999968413,0.631503099999918,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,1,1,1,0.6459047999996983,,,,,,0.6318603999998231,0.6459047999996983,0.6459047999996983,0.6459047999996983,0.6459047999996983,0.6459047999996983,0.9312965999997687,None,0.9315379999998186,0.9458904999996776,0.9458904999996776,0.9458904999996776,0.9458904999996776,0.9458904999996776,1.2312934999999925,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,2,2,2,1.2459969999999885,,,,,,1.2316474999997808,1.2459969999999885,1.2459969999999885,1.2459969999999885,1.2459969999999885,1.2459969999999885,1.5314729999995507,None,1.5317220999995698,1.5458730999998807,1.5458730999998807,1.5458730999998807,1.5458730999998807,1.5458730999998807,1.8313115999999354,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,3,3,3,1.8457858999995551,,,,,,1.8316686999996818,1.8457858999995551,1.8457858999995551,1.8457858999995551,1.8457858999995551,1.8457858999995551,2.13142869999956,None,2.131673999999748,2.1457158999996864,2.1457158999996864,2.1457158999996864,2.1457158999996864,2.1457158999996864,2.4314432999999553,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,4,4,4,2.445958299999802,,,,,,2.431796999999733,2.445958299999802,2.445958299999802,2.445958299999802,2.445958299999802,2.445958299999802,2.7312918999996327,None,2.7315284999999676,2.7459452999996756,2.7459452999996756,2.7459452999996756,2.7459452999996756,2.7459452999996756,3.031406899999638,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,5,5,5,3.0458505999999943,,,,,,3.031768899999861,3.0458505999999943,3.0458505999999943,3.0458505999999943,3.0458505999999943,3.0458505999999943,3.331470999999965,None,3.3317213999998785,3.3459045999998125,3.3459045999998125,3.3459045999998125,3.3459045999998125,3.3459045999998125,3.6312333999999282,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,6,6,6,3.6458763999999064,,,,,,3.6315733999999793,3.6458763999999064,3.6458763999999064,3.6458763999999064,3.6458763999999064,3.6458763999999064,3.9314312999999856,None,3.9317490999997062,3.945593899999949,3.945593899999949,3.945593899999949,3.945593899999949,3.945593899999949,4.231547399999727,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,None,['up'],[0.08527580000009038],[None],0,0,0,0,0,7,7,7,4.245866199999909,,,,,,4.231905099999949,4.245866199999909,4.245866199999909,4.245866199999909,4.245866199999909,4.245866199999909,4.531499099999564,None,4.531750799999827,4.545694299999923,4.545694299999923,4.545694299999923,4.545694299999923,4.545694299999923,4.8312880999997105,['up'],[0.08527580000009038],[None],849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
Estimulo_1,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,0,0,8,8,8,4.845971599999757,,,,,,4.831653699999606,4.845971599999757,4.845971599999757,4.845971599999757,4.845971599999757,4.845971599999757,5.13148209999963,None,5.131735899999967,5.145945299999767,5.145945299999767,5.145945299999767,5.145945299999767,5.145945299999767,5.4314423999999235,None,,,849261,001,2025-03-26_15h56.38.270,Estimulo_ICE,2024.2.4,59.71261512582253,2025-03-26 15h56.42.271132 -0300,
