LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,image_10.started,polygon_6.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_11,10,10,0,2.2,-2.2,-2.2,2.2,3.7,-3.7,3.7,-3.7,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,7,,,,,6.045259299999998,,,,6.031155499999841,6.045259299999998,6.045259299999998,6.045259299999998,6.331293000000187,6.331556600000113,6.345386099999814,6.345386099999814,6.345386099999814,6.630728900000122,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,11,11,0,2.2,-2.2,-2.2,2.2,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,10,,,,,6.645406699999967,,,,6.63105510000014,6.645406699999967,6.645406699999967,6.645406699999967,6.931039900000087,6.931271699999797,6.945241500000066,6.945241500000066,6.945241500000066,7.230730199999925,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,12,12,0,2.2,-2.2,-2.2,2.2,1.79999999999999,-1.79999999999999,1.79999999999999,-1.79999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,26,,,,,7.245247400000153,,,,7.231049299999995,7.245247400000153,7.245247400000153,7.245247400000153,7.531064299999798,7.531286500000078,7.545327599999837,7.545327599999837,7.545327599999837,7.8308225000000675,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,13,13,0,2.2,-2.2,-2.2,2.2,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,20,,,,,7.845386699999835,,,,7.831163899999865,7.845386699999835,7.845386699999835,7.845386699999835,8.136015799999768,8.136588299999858,8.146938299999874,8.146938299999874,8.146938299999874,8.439412100000027,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,14,14,0,2.2,-2.2,-2.2,2.2,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,15,,,,,8.461610100000144,,,,8.440832599999794,8.461610100000144,8.461610100000144,8.461610100000144,8.730777100000068,8.731011200000012,8.74536339999986,8.74536339999986,8.74536339999986,9.03090710000015,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,15,15,0,2.2,-2.2,-2.2,2.2,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,19,,,,,9.045339199999944,,,,9.031248799999958,9.045339199999944,9.045339199999944,9.045339199999944,9.330926699999964,9.331157600000097,9.34522509999988,9.34522509999988,9.34522509999988,9.63075179999987,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,16,16,0,2.2,-2.2,-2.2,2.2,4.3,-4.3,4.3,-4.3,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,1,,,,,9.64544769999975,,,,9.631092300000091,9.64544769999975,9.64544769999975,9.64544769999975,9.93094259999998,9.931174800000008,9.945277400000123,9.945277400000123,9.945277400000123,10.23092910000014,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,17,17,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,30,,,,,10.24531509999997,,,,10.231272600000011,10.24531509999997,10.24531509999997,10.24531509999997,10.531897200000003,10.532147099999747,10.546242299999903,10.546242299999903,10.546242299999903,10.830868099999861,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,18,18,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,31,,,,,10.845285800000056,,,,10.831208699999934,10.845285800000056,10.845285800000056,10.845285800000056,11.130652299999838,11.130885600000056,11.145187300000089,11.145187300000089,11.145187300000089,11.430889299999762,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
Estimulo_11,19,19,0,2.2,-2.2,-2.2,2.2,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,17,,,,,11.44530799999984,,,,11.431235500000184,11.44530799999984,11.44530799999984,11.44530799999984,11.730999299999894,11.731240799999796,11.74542029999975,11.74542029999975,11.74542029999975,12.030809800000043,,,,,,,,,,,,,,,,,,,,632199,001,2025-03-17_14h38.39.233,Estimulo_ICE,2024.2.4,59.924554985130385,2025-03-17 14h38.44.546313 -0300,
