LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,image_10.started,polygon_6.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_6,10,10,0,2.1,-2.1,2.1,-2.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,6.02328609999995,,,,6.007050700000036,6.02328609999995,6.02328609999995,6.02328609999995,6.309702000000016,6.310227400000031,6.32161670000005,6.32161670000005,6.32161670000005,6.620694100000037,6.620694100000037,6.620694100000037,6.60767020000003,,,,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,11,11,0,2.2,-2.2,2.2,-2.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,6.620694100000037,,,,6.60810749999996,6.620694100000037,6.620694100000037,6.620694100000037,6.907503399999996,6.907807399999911,6.920945300000085,6.920945300000085,6.920945300000085,7.220764800000097,7.220764800000097,7.220764800000097,7.206631300000026,6.920945300000085,6.920945300000085,6.920945300000085,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,12,12,0,2.3,-2.3,2.3,-2.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,7.220764800000097,,,,7.206988200000069,7.220764800000097,7.220764800000097,7.220764800000097,7.506644099999903,7.506893799999943,7.5206666999999925,7.5206666999999925,7.5206666999999925,7.820513800000072,7.820513800000072,7.820513800000072,7.806448399999908,7.5206666999999925,7.5206666999999925,7.5206666999999925,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,13,13,0,2.4,-2.4,2.4,-2.4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,7.820513800000072,,,,7.806811700000026,7.820513800000072,7.820513800000072,7.820513800000072,8.106651900000088,8.106901599999901,8.120700100000022,8.120700100000022,8.120700100000022,8.420731400000022,8.420731400000022,8.420731400000022,8.406419400000004,8.120700100000022,8.120700100000022,8.120700100000022,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,14,14,0,2.5,-2.5,2.5,-2.5,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,8.420731400000022,,,,8.406779500000084,8.420731400000022,8.420731400000022,8.420731400000022,8.706605300000092,8.706851500000084,8.720673199999965,8.720673199999965,8.720673199999965,9.02115219999996,9.02115219999996,9.02115219999996,9.010486599999922,8.720673199999965,8.720673199999965,8.720673199999965,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,15,15,0,2.6,-2.6,2.6,-2.6,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,9.02115219999996,,,,9.011079999999993,9.02115219999996,9.02115219999996,9.02115219999996,9.306558900000027,9.306808900000078,9.320584300000064,9.320584300000064,9.320584300000064,9.62049490000004,9.62049490000004,9.62049490000004,9.606698000000051,9.320584300000064,9.320584300000064,9.320584300000064,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,16,16,0,2.7,-2.7,2.7,-2.7,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,9.62049490000004,,,,9.607043100000055,9.62049490000004,9.62049490000004,9.62049490000004,9.906609000000117,9.906856600000083,9.920697700000119,9.920697700000119,9.920697700000119,10.220782399999962,10.220782399999962,10.220782399999962,10.206426799999917,9.920697700000119,9.920697700000119,9.920697700000119,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,17,17,0,2.8,-2.8,2.8,-2.8,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,10.220782399999962,,,,10.206771899999922,10.220782399999962,10.220782399999962,10.220782399999962,10.50662269999998,10.5068725000001,10.520659600000045,10.520659600000045,10.520659600000045,10.820709999999963,10.820709999999963,10.820709999999963,10.806656700000076,10.520659600000045,10.520659600000045,10.520659600000045,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,18,18,0,2.9,-2.9,2.9,-2.9,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,10.820709999999963,,,,10.807016299999987,10.820709999999963,10.820709999999963,10.820709999999963,11.110003000000006,11.110487400000011,11.121658100000104,11.121658100000104,11.121658100000104,11.420890399999962,11.420890399999962,11.420890399999962,11.407189600000038,11.121658100000104,11.121658100000104,11.121658100000104,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,19,19,0,3,-3,3,-3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,11.420890399999962,,,,11.407613000000083,11.420890399999962,11.420890399999962,11.420890399999962,11.707055999999966,11.7073519999999,11.72091760000012,11.72091760000012,11.72091760000012,12.023388300000079,12.023388300000079,12.023388300000079,12.0070189999999,11.72091760000012,11.72091760000012,11.72091760000012,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,20,20,0,3.1,-3.1,3.1,-3.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,12.023388300000079,,,,12.007435600000008,12.023388300000079,12.023388300000079,12.023388300000079,12.307231700000102,12.307539399999996,12.320841199999904,12.320841199999904,12.320841199999904,12.620819700000084,12.620819700000084,12.620819700000084,12.607284800000116,,,,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,21,21,0,3.2,-3.2,3.2,-3.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,12.620819700000084,,,,12.607717800000046,12.620819700000084,12.620819700000084,12.620819700000084,12.907261600000083,12.90756609999994,12.92066849999992,12.92066849999992,12.92066849999992,13.220795599999974,13.220795599999974,13.220795599999974,13.206519399999934,12.92066849999992,12.92066849999992,12.92066849999992,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,22,22,0,3.3,-3.3,3.3,-3.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,13.220795599999974,,,,13.206868499999928,13.220795599999974,13.220795599999974,13.220795599999974,13.506411200000002,13.506662400000096,13.520702699999902,13.520702699999902,13.520702699999902,13.820466699999997,13.820466699999997,13.820466699999997,13.806594899999936,13.520702699999902,13.520702699999902,13.520702699999902,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,23,23,0,3.4,-3.4,3.4,-3.4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,13.820466699999997,,,,13.806941499999994,13.820466699999997,13.820466699999997,13.820466699999997,14.106418800000029,14.106660500000089,14.120765500000061,14.120765500000061,14.120765500000061,14.420809899999995,14.420809899999995,14.420809899999995,14.40654870000003,14.120765500000061,14.120765500000061,14.120765500000061,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,24,24,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,14.420809899999995,,,,14.406909699999915,14.420809899999995,14.420809899999995,14.420809899999995,14.706613399999924,14.706864300000007,14.720649800000047,14.720649800000047,14.720649800000047,15.020618300000024,15.020618300000024,15.020618300000024,15.006573899999921,14.720649800000047,14.720649800000047,14.720649800000047,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,25,25,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,15.020618300000024,,,,15.006934600000022,15.020618300000024,15.020618300000024,15.020618300000024,15.306563600000118,15.306815700000016,15.320687899999939,15.320687899999939,15.320687899999939,15.62071560000004,15.62071560000004,15.62071560000004,15.606701200000089,15.320687899999939,15.320687899999939,15.320687899999939,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,26,26,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,15.62071560000004,,,,15.607063400000015,15.62071560000004,15.62071560000004,15.62071560000004,15.906414699999914,15.906656200000043,15.920708399999967,15.920708399999967,15.920708399999967,16.22062959999994,16.22062959999994,16.22062959999994,16.20658010000011,15.920708399999967,15.920708399999967,15.920708399999967,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,27,27,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,16.22062959999994,,,,16.20694000000003,16.22062959999994,16.22062959999994,16.22062959999994,16.50656529999992,16.50681499999996,16.520419100000026,16.520419100000026,16.520419100000026,16.82064009999999,16.82064009999999,16.82064009999999,16.806550300000026,16.520419100000026,16.520419100000026,16.520419100000026,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,28,28,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,16.82064009999999,,,,16.806910000000016,16.82064009999999,16.82064009999999,16.82064009999999,17.10660299999995,17.1068479999999,17.120532599999933,17.120532599999933,17.120532599999933,17.420612399999982,17.420612399999982,17.420612399999982,17.406557999999904,17.120532599999933,17.120532599999933,17.120532599999933,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,29,29,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,17.420612399999982,,,,17.40691979999997,17.420612399999982,17.420612399999982,17.420612399999982,17.706553400000075,17.70680450000009,17.720454000000018,17.720454000000018,17.720454000000018,18.02380530000005,18.02380530000005,18.02380530000005,18.006575899999916,17.720454000000018,17.720454000000018,17.720454000000018,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,30,30,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,18.02380530000005,,,,18.0069289999999,18.02380530000005,18.02380530000005,18.02380530000005,18.30692320000003,18.307188600000018,18.320707800000037,18.320707800000037,18.320707800000037,18.62075750000008,18.62075750000008,18.62075750000008,18.60646059999999,,,,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,31,31,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,18.62075750000008,,,,18.60682100000008,18.62075750000008,18.62075750000008,18.62075750000008,18.90640039999994,18.906652099999974,18.920467700000017,18.920467700000017,18.920467700000017,19.220775400000093,19.220775400000093,19.220775400000093,19.206397200000083,18.920467700000017,18.920467700000017,18.920467700000017,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
Estimulo_6,32,32,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,19.220775400000093,,,,19.20672330000002,19.220775400000093,19.220775400000093,19.220775400000093,19.50652089999994,19.506760499999928,19.52050720000011,19.52050720000011,19.52050720000011,19.82039850000001,19.82039850000001,19.82039850000001,19.80653600000005,19.52050720000011,19.52050720000011,19.52050720000011,,,,,,,,,,,,,,572923,001,2025-03-17_14h37.09.225,Estimulo_ICE,2024.2.4,59.98706678839761,2025-03-17 14h37.15.680105 -0300,
