LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.rt,key_resp_3.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,text.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,text_2.started,trial_2.stopped,loop_2.key_resp_3.keys,loop_2.key_resp_2.rt,loop_2.key_resp_2.duration,loop_2.key_resp_3.rt,loop_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011154199999964476,0.011577000000215776,,,,,,,,,,,,,,,,,,,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,0,0,0,0.10856690000036906,,,,0.01613630000019839,0.016491800000039802,0.040376500000093074,0.10856690000036906,0.10856690000036906,0.10856690000036906,0.10856690000036906,0.10856690000036906,0.3265473000001293,None,0.32677890000013576,0.34095650000017486,0.34095650000017486,0.34095650000017486,0.34095650000017486,0.34095650000017486,0.626794300000256,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,1,1,1,0.6410507000000507,,,,,,0.6271573000003627,0.6410507000000507,0.6410507000000507,0.6410507000000507,0.6410507000000507,0.6410507000000507,0.9263173000003917,None,0.9265513000000283,0.9411251000001357,0.9411251000001357,0.9411251000001357,0.9411251000001357,0.9411251000001357,1.2266311000003043,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,2,2,2,1.240892199999962,,,,,,1.2269885000000613,1.240892199999962,1.240892199999962,1.240892199999962,1.240892199999962,1.240892199999962,1.5265235000001667,None,1.5267686000001959,1.5410965000000942,1.5410965000000942,1.5410965000000942,1.5410965000000942,1.5410965000000942,1.8264656999999715,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,3,3,3,1.840965700000197,,,,,,1.826800700000149,1.840965700000197,1.840965700000197,1.840965700000197,1.840965700000197,1.840965700000197,2.1264218000001165,None,2.1267024000003403,2.1409832000003917,2.1409832000003917,2.1409832000003917,2.1409832000003917,2.1409832000003917,2.4266122000003634,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,4,4,4,2.440845999999965,,,,,,2.4269711000001735,2.440845999999965,2.440845999999965,2.440845999999965,2.440845999999965,2.440845999999965,2.726586500000394,None,2.7268395999999484,2.7411236000002646,2.7411236000002646,2.7411236000002646,2.7411236000002646,2.7411236000002646,3.0263663000000633,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,5,5,5,3.040771500000119,,,,,,3.0266986000001452,3.040771500000119,3.040771500000119,3.040771500000119,3.040771500000119,3.040771500000119,3.326614800000243,None,3.326863300000241,3.3409987,3.3409987,3.3409987,3.3409987,3.3409987,3.626657100000102,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,6,6,6,3.641018300000269,,,,,,3.627018500000304,3.641018300000269,3.641018300000269,3.641018300000269,3.641018300000269,3.641018300000269,3.9266308000001118,None,3.926882200000364,3.941140600000381,3.941140600000381,3.941140600000381,3.941140600000381,3.941140600000381,4.226574600000276,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,7,7,7,4.241049900000235,,,,,,4.226931500000319,4.241049900000235,4.241049900000235,4.241049900000235,4.241049900000235,4.241049900000235,4.526413300000058,None,4.526661700000204,4.541001700000379,4.541001700000379,4.541001700000379,4.541001700000379,4.541001700000379,4.826587600000039,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
Estimulo_2,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,1,,,,,0,8,8,8,4.84101230000033,,,,,,4.826945799999976,4.84101230000033,4.84101230000033,4.84101230000033,4.84101230000033,4.84101230000033,5.126648400000249,None,5.126899700000195,5.140793900000062,5.140793900000062,5.140793900000062,5.140793900000062,5.140793900000062,5.426599200000055,None,,,,,018611,001,2025-03-26_15h59.34.491,Estimulo_ICE,2024.2.4,60.12712075868373,2025-03-26 15h59.41.803207 -0300,
