LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_6.rt,key_resp_6.duration,key_resp_4.keys,key_resp_5.keys,key_resp_4.rt,key_resp_4.duration,key_resp_5.rt,key_resp_5.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_7.rt,loop_12.key_resp_7.duration,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,trial_4.stopped,loop_5.key_resp_5.keys,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_12,0,0,0,2.2,-2.2,-2.2,2.2,1.09999999999998,-1.09999999999998,1.09999999999998,-1.09999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.20317620000014358,,0.010667400000102134,0.011034800000061296,0.19621660000007068,0.20317620000014358,0.20317620000014358,0.20317620000014358,0.20317620000014358,0.32190300000002026,None,0.32213660000002164,0.3367112000000816,0.3367112000000816,0.3367112000000816,0.3367112000000816,0.6218168000000333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,1,1,0,2.2,-2.2,-2.2,2.2,1.19999999999998,-1.19999999999998,1.19999999999998,-1.19999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.6363309000000754,,,,0.6221747000001869,0.6363309000000754,0.6363309000000754,0.6363309000000754,0.6363309000000754,0.9217262000001938,None,0.9219618000001901,0.9361736000000747,0.9361736000000747,0.9361736000000747,0.9361736000000747,1.2218870000001516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,2,2,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,None,['right'],[0.24260300000014468],[None],,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.2362743000001046,,,,1.2222465000002103,1.2362743000001046,1.2362743000001046,1.2362743000001046,1.2362743000001046,1.5219030000000657,None,1.5221519000001535,1.5364245000000665,1.5364245000000665,1.5364245000000665,1.5364245000000665,1.8216392000001633,['right'],[0.24260300000014468],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,3,3,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1.8362946000002012,,,,1.8220330000001468,1.8362946000002012,1.8362946000002012,1.8362946000002012,1.8362946000002012,2.1250128000001496,None,2.1255376000001434,2.1372549000000163,2.1372549000000163,2.1372549000000163,2.1372549000000163,2.4251060000001416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,4,4,0,2.2,-2.2,-2.2,2.2,1.49999999999998,-1.49999999999998,1.49999999999998,-1.49999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.4372748000000684,,,,2.4258451000000605,2.4372748000000684,2.4372748000000684,2.4372748000000684,2.4372748000000684,2.725042200000189,None,2.725551600000017,2.7372620000001007,2.7372620000001007,2.7372620000001007,2.7372620000001007,3.025045400000181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,5,5,0,2.2,-2.2,-2.2,2.2,1.59999999999998,-1.59999999999998,1.59999999999998,-1.59999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.0373466000000917,,,,3.0257833000000574,3.0373466000000917,3.0373466000000917,3.0373466000000917,3.0373466000000917,3.3250556000000415,None,3.3255659000001287,3.3371583000000555,3.3371583000000555,3.3371583000000555,3.3371583000000555,3.6250311000001147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,6,6,0,2.2,-2.2,-2.2,2.2,1.69999999999998,-1.69999999999998,1.69999999999998,-1.69999999999998,['right'],['right'],[0.24946300000010524],[None],[0.037844699999823206],[0.1833043000001453],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.637136400000145,,,,3.6257788000000346,3.637136400000145,3.637136400000145,3.637136400000145,3.637136400000145,3.9250392000001284,['right'],3.9256063000000267,3.9372481000000334,3.9372481000000334,3.9372481000000334,3.9372481000000334,4.225065400000176,['right'],[0.24946300000010524],[None],[0.037844699999823206],[0.1833043000001453],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,7,7,0,2.2,-2.2,-2.2,2.2,1.79999999999998,-1.79999999999998,1.79999999999998,-1.79999999999998,['right'],None,,,[0.15809129999979632],[0.08851270000013756],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.23722500000008,,,,4.225857900000165,4.23722500000008,4.23722500000008,4.23722500000008,4.23722500000008,4.514781900000116,['right'],4.515841800000089,4.53775510000014,4.53775510000014,4.53775510000014,4.53775510000014,4.815952300000163,None,,,[0.15809129999979632],[0.08851270000013756],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,8,8,0,2.2,-2.2,-2.2,2.2,1.89999999999998,-1.89999999999998,1.89999999999998,-1.89999999999998,['right'],None,,,[0.25740570000016305],[0.11207519999993565],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,4.836342700000159,,,,4.817388200000096,4.836342700000159,4.836342700000159,4.836342700000159,4.836342700000159,5.125373600000103,['right'],5.126037400000087,5.137975800000049,5.137975800000049,5.137975800000049,5.137975800000049,5.424900500000149,None,,,[0.25740570000016305],[0.11207519999993565],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
Estimulo_12,9,9,0,2.2,-2.2,-2.2,2.2,1.99999999999998,-1.99999999999998,1.99999999999998,-1.99999999999998,None,['right'],[0.1516870000000381],[None],,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,5.439429400000108,,,,5.425728000000163,5.439429400000108,5.439429400000108,5.439429400000108,5.439429400000108,5.722756200000049,None,5.723090900000216,5.73971900000015,5.73971900000015,5.73971900000015,5.73971900000015,6.014639400000078,['right'],[0.1516870000000381],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169506,001,2025-03-24_16h06.14.759,Estimulo_ICE,2024.2.4,60.05338746139349,2025-03-24 16h06.29.871999 -0300,
