LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,image.stopped,image_2.stopped,polygon.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_11,30,30,0,2.2,-2.2,-2.2,2.2,2.09999999999999,-2.09999999999999,2.09999999999999,-2.09999999999999,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,23,,,,,0.17035980000036943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_11,31,31,0,2.2,-2.2,-2.2,2.2,3.6,-3.6,3.6,-3.6,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,31,8,,,,,0.17035980000036943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_11,32,32,0,2.2,-2.2,-2.2,2.2,3.9,-3.9,3.9,-3.9,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,32,5,,,,,0.17035980000036943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_11,33,33,0,2.2,-2.2,-2.2,2.2,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,33,19,,,,,0.17035980000036943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_11,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15867940000043745,0.17035980000036943,0.5224777000003087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,0,0,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,25,,,,,,,,,0.6702302000003328,,0.5225871000002371,0.5229309000005742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,1,1,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,0.6702302000003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0.6702302000003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,3,3,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,0.6702302000003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,4,4,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,0.6702302000003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
Estimulo_10,5,5,0,3.3,-3.3,3.3,-3.3,2.2,-2.2,-2.2,2.2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,22,,,,,,,,,0.6702302000003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028938,001,2025-03-17_15h14.44.897,Estimulo_ICE,2024.2.4,60.0279730356233,2025-03-17 15h14.50.296915 -0300,
