LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06256500000017695,,0.02247269999998025,0.02307890000020052,0.04707959999996092,0.06256500000017695,0.06256500000017695,0.06256500000017695,0.33111860000008164,0.3313327000000754,0.34566510000013295,0.34566510000013295,0.34566510000013295,0.631134799999927,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6456433000003017,,,,0.6314765000001898,0.6456433000003017,0.6456433000003017,0.6456433000003017,0.9310969000002842,0.931329900000037,0.9455891000002339,0.9455891000002339,0.9455891000002339,1.2310565000002498,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245655500000339,,,,1.2313975000001847,1.245655500000339,1.245655500000339,1.245655500000339,1.531138700000156,1.531372200000078,1.5458057000000736,1.5458057000000736,1.5458057000000736,1.831365999999889,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8455204000001686,,,,1.83170999999993,1.8455204000001686,1.8455204000001686,1.8455204000001686,2.138076700000056,2.1387493000001996,2.147464200000286,2.147464200000286,2.147464200000286,2.431636499999968,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4457142000001113,,,,2.4320273000003,2.4457142000001113,2.4457142000001113,2.4457142000001113,2.731584600000133,2.7318515000001753,2.7457776999999624,2.7457776999999624,2.7457776999999624,3.030941800000164,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0456585000001724,,,,3.031285900000057,3.0456585000001724,3.0456585000001724,3.0456585000001724,3.331166200000098,3.331400300000041,3.345580200000313,3.345580200000313,3.345580200000313,3.631235800000013,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6455973000001904,,,,3.631579000000329,3.6455973000001904,3.6455973000001904,3.6455973000001904,3.930980399999953,3.9312230999998974,3.9456992000000355,3.9456992000000355,3.9456992000000355,4.231151700000282,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.245597099999941,,,,4.231494500000281,4.245597099999941,4.245597099999941,4.245597099999941,4.531233200000315,4.531469200000174,4.545513200000187,4.545513200000187,4.545513200000187,4.830987499999992,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.845677199999955,,,,4.831328400000075,4.845677199999955,4.845677199999955,4.845677199999955,5.134604500000023,5.135061299999961,5.146450499999901,5.146450499999901,5.146450499999901,5.431928200000129,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
Estimulo_2,9,9,0,2,-2,2,-2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.445802199999889,,,,5.432357400000001,5.445802199999889,5.445802199999889,5.445802199999889,5.731007800000043,5.731242900000325,5.745607100000143,5.745607100000143,5.745607100000143,6.031862900000306,,,,,,,,,,,,,,,,,,,,113546,001,2025-03-17_14h41.21.467,Estimulo_ICE,2024.2.4,60.02199205792184,2025-03-17 14h41.26.680100 -0300,
