LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,key_resp_6.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,trial_4.stopped,loop_5.key_resp_5.keys,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_7.rt,loop_12.key_resp_7.duration,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_5,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,['right'],"['right', 'right']","[0.03426739999997608, 0.23420529999998507]","[0.08915360000003147, None]",[0.08464569999989635],[0.10403390000010404],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.032332499999939,,,,6.018388099999925,6.04942410000001,6.04942410000001,6.04942410000001,6.04942410000001,6.334212099999945,['right'],6.334582599999976,6.347783999999933,6.347783999999933,6.347783999999933,6.347783999999933,6.633293699999967,"['right', 'right']","[0.03426739999997608, 0.23420529999998507]","[0.08915360000003147, None]",[0.08464569999989635],[0.10403390000010404],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6478413999999475,,,,6.6336738999999625,6.6478413999999475,6.6478413999999475,6.6478413999999475,6.6478413999999475,6.933264299999905,None,6.9335088999999925,6.947768499999938,6.947768499999938,6.947768499999938,6.947768499999938,7.233328599999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.247629599999982,,,,7.233680800000002,7.247629599999982,7.247629599999982,7.247629599999982,7.247629599999982,7.533140599999911,None,7.533388299999956,7.547716400000013,7.547716400000013,7.547716400000013,7.547716400000013,7.833287299999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.847816399999942,,,,7.833638999999948,7.847816399999942,7.847816399999942,7.847816399999942,7.847816399999942,8.133232399999997,None,8.133478099999934,8.147680499999979,8.147680499999979,8.147680499999979,8.147680499999979,8.433290599999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44761799999992,,,,8.433641899999998,8.44761799999992,8.44761799999992,8.44761799999992,8.44761799999992,8.73330820000001,None,8.733551999999918,8.747633500000006,8.747633500000006,8.747633500000006,8.747633500000006,9.033220299999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,None,['up'],[0.09936790000006113],[0.10353159999999662],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.047534699999915,,,,9.033573299999944,9.047534699999915,9.047534699999915,9.047534699999915,9.047534699999915,9.333285299999943,None,9.333528699999988,9.34768489999999,9.34768489999999,9.34768489999999,9.34768489999999,9.633103699999992,['up'],[0.09936790000006113],[0.10353159999999662],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,['right'],['right'],[0.10666780000008202],[0.12050249999992957],[0.06371329999990394],[0.127822500000093],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.647663099999932,,,,9.633484899999985,9.647663099999932,9.647663099999932,9.647663099999932,9.647663099999932,9.933242199999995,['right'],9.933514699999932,9.947777799999926,9.947777799999926,9.947777799999926,9.947777799999926,10.233169999999973,['right'],[0.10666780000008202],[0.12050249999992957],[0.06371329999990394],[0.127822500000093],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,None,['up'],[0.1711860999999999],[0.07122240000001057],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.247777699999915,,,,10.23355069999991,10.247777699999915,10.247777699999915,10.247777699999915,10.247777699999915,10.533049699999992,None,10.533293500000013,10.54771519999997,10.54771519999997,10.54771519999997,10.54771519999997,10.833107699999914,['up'],[0.1711860999999999],[0.07122240000001057],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,"['up', 'up']",['up'],[0.1473534000000427],[0.07171949999997196],"[0.06343839999999545, 0.2464582000000064]","[0.06394629999999779, None]",,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.847728699999948,,,,10.833486600000015,10.847728699999948,10.847728699999948,10.847728699999948,10.847728699999948,11.133105599999908,"['up', 'up']",11.133377499999938,11.147678399999904,11.147678399999904,11.147678399999904,11.147678399999904,11.433157199999982,['up'],[0.1473534000000427],[0.07171949999997196],"[0.06343839999999545, 0.2464582000000064]","[0.06394629999999779, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,19,19,0,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,2.2,-2.2,-2.2,2.2,"['right', 'right']",['right'],[0.13162469999997484],[0.08747640000001411],"[0.06341710000003786, 0.2556273999999803]","[0.07892389999994975, None]",,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.447737299999972,,,,11.433537199999932,11.447737299999972,11.447737299999972,11.447737299999972,11.447737299999972,11.73329359999991,"['right', 'right']",11.733565099999964,11.747585500000014,11.747585500000014,11.747585500000014,11.747585500000014,12.033248200000003,['right'],[0.13162469999997484],[0.08747640000001411],"[0.06341710000003786, 0.2556273999999803]","[0.07892389999994975, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
