LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,key_resp_7.rt,key_resp_7.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,text_5.started,trial_5.stopped,loop_10.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,text_6.started,trial_6.stopped,loop_10.key_resp_7.keys,loop_10.key_resp_6.rt,loop_10.key_resp_6.duration,loop_10.key_resp_7.rt,loop_10.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023040600000058475,0.023479700000052617,,,,,,,,,,,,,,,,,,,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.28642119999994975,,,,0.02838629999996556,0.02874389999988125,0.1976151999999729,0.28642119999994975,0.28642119999994975,0.28642119999994975,0.28642119999994975,0.28642119999994975,0.33783840000000964,None,0.33807149999984176,0.3523678999999902,0.3523678999999902,0.3523678999999902,0.3523678999999902,0.3523678999999902,0.6378451999999015,None,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.6523984999998902,,,,,,0.6381937999999536,0.6523984999998902,0.6523984999998902,0.6523984999998902,0.6523984999998902,0.6523984999998902,0.9377024000000347,None,0.937936099999888,0.9523366999999325,0.9523366999999325,0.9523366999999325,0.9523366999999325,0.9523366999999325,1.237796200000048,None,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,['right'],None,[0.13225729999999203],[None],,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.2522862999999234,,,,,,1.2381600999999591,1.2522862999999234,1.2522862999999234,1.2522862999999234,1.2522862999999234,1.2522862999999234,1.537747999999965,['right'],1.5380080999998427,1.552267699999902,1.552267699999902,1.552267699999902,1.552267699999902,1.552267699999902,1.8377172000000428,None,[0.13225729999999203],[None],,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,['right'],,,[0.23982310000019424],[None],0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1.8522691000000577,,,,,,1.8380606000000625,1.8522691000000577,1.8522691000000577,1.8522691000000577,1.8522691000000577,1.8522691000000577,2.1380320000000665,None,2.1383786999999757,2.1527507999999216,2.1527507999999216,2.1527507999999216,2.1527507999999216,2.1527507999999216,2.437625300000036,['right'],,,[0.23982310000019424],[None],170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.452297000000044,,,,,,2.4379884999998467,2.452297000000044,2.452297000000044,2.452297000000044,2.452297000000044,2.452297000000044,2.737873600000057,None,2.7381238999998914,2.752118399999972,2.752118399999972,2.752118399999972,2.752118399999972,2.752118399999972,3.037771399999883,None,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,['up'],None,[0.2436313999999129],[None],,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.0523086999999123,,,,,,3.038127799999984,3.0523086999999123,3.0523086999999123,3.0523086999999123,3.0523086999999123,3.0523086999999123,3.3382222999998703,['up'],3.3384819999998854,3.352388699999892,3.352388699999892,3.352388699999892,3.352388699999892,3.352388699999892,3.6377820000000156,None,[0.2436313999999129],[None],,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.6522829999998976,,,,,,3.6381275999999616,3.6522829999998976,3.6522829999998976,3.6522829999998976,3.6522829999998976,3.6522829999998976,3.937729999999874,None,3.937969899999871,3.952064599999858,3.952064599999858,3.952064599999858,3.952064599999858,3.952064599999858,4.237626099999943,None,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,None,['up'],,,[0.18360659999984819],[None],0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.252037900000005,,,,,,4.237973900000043,4.252037900000005,4.252037900000005,4.252037900000005,4.252037900000005,4.252037900000005,4.53771340000003,None,4.537948899999947,4.552180499999849,4.552180499999849,4.552180499999849,4.552180499999849,4.552180499999849,4.837679600000001,['up'],,,[0.18360659999984819],[None],170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
Estimulo_10,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,4.85209349999991,,,,,,4.838044099999934,4.85209349999991,4.85209349999991,4.85209349999991,4.85209349999991,4.85209349999991,5.138153699999975,None,5.138413899999932,5.1520550000000185,5.1520550000000185,5.1520550000000185,5.1520550000000185,5.1520550000000185,5.43769159999988,None,,,,,170371,001,2025-03-26_15h42.10.379,Estimulo_ICE,2024.2.4,60.09210918501043,2025-03-26 15h42.14.643894 -0300,
