LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_4.keys,key_resp_5.keys,key_resp_2.keys,key_resp_3.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.rt,key_resp_3.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,image_11.stopped,image_12.stopped,polygon_7.stopped,key_resp_7.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,key_resp_6.stopped,_intertrial_interval_.started,polygon_5.started,polygon_5.stopped,_intertrial_interval_.stopped,loop_10.key_resp_6.keys,loop_10.key_resp_7.keys,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_5.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,text.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,trial_2.stopped,loop_2.key_resp_3.keys,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,image.stopped,image_2.stopped,polygon.stopped,key_resp_2.stopped,text.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,key_resp_3.stopped,loop_2.key_resp_2.rt,loop_2.key_resp_2.duration,loop_2.key_resp_3.rt,loop_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_12,0,0,0,2.2,-2.2,-2.2,2.2,1.09999999999998,-1.09999999999998,1.09999999999998,-1.09999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.2674072999798227,,0.020809899986488745,0.02124909998383373,0.2470032999990508,0.2674072999798227,0.2674072999798227,0.2674072999798227,0.2674072999798227,0.33613579999655485,None,0.336376699997345,0.3505663999821991,0.3505663999821991,0.3505663999821991,0.3505663999821991,0.6362876999774016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,1,1,0,2.2,-2.2,-2.2,2.2,1.19999999999998,-1.19999999999998,1.19999999999998,-1.19999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.6507570999965537,,,,0.6366694999742322,0.6507570999965537,0.6507570999965537,0.6507570999965537,0.6507570999965537,0.9362355999764986,None,0.9364932999887969,0.9507251999748405,0.9507251999748405,0.9507251999748405,0.9507251999748405,1.2362512999970932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,2,2,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.2506320999818854,,,,1.2366220999974757,1.2506320999818854,1.2506320999818854,1.2506320999818854,1.2506320999818854,1.5361329999868758,None,1.5363928999868222,1.5507167999749072,1.5507167999749072,1.5507167999749072,1.5507167999749072,1.8360924999869894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,3,3,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1.8506123999832198,,,,1.8364622999797575,1.8506123999832198,1.8506123999832198,1.8506123999832198,1.8506123999832198,2.1362420999794267,None,2.136500199994771,2.1505996999912895,2.1505996999912895,2.1505996999912895,2.1505996999912895,2.4362436999799684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,4,4,0,2.2,-2.2,-2.2,2.2,1.49999999999998,-1.49999999999998,1.49999999999998,-1.49999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.4504812999803107,,,,2.436610299977474,2.4504812999803107,2.4504812999803107,2.4504812999803107,2.4504812999803107,2.736405899981037,None,2.7366773999819998,2.7506451999943238,2.7506451999943238,2.7506451999943238,2.7506451999943238,3.0249914999876637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,5,5,0,2.2,-2.2,-2.2,2.2,1.59999999999998,-1.59999999999998,1.59999999999998,-1.59999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.034879599988926,,,,3.025755599985132,3.034879599988926,3.034879599988926,3.034879599988926,3.034879599988926,3.324327499984065,None,3.3249628999910783,3.335371599998325,3.335371599998325,3.335371599998325,3.335371599998325,3.624186299974099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,6,6,0,2.2,-2.2,-2.2,2.2,1.69999999999998,-1.69999999999998,1.69999999999998,-1.69999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.635451699985424,,,,3.6250926999782678,3.635451699985424,3.635451699985424,3.635451699985424,3.635451699985424,3.9243711999733932,None,3.9250130000000354,3.935466799972346,3.935466799972346,3.935466799972346,3.935466799972346,4.236198200000217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,7,7,0,2.2,-2.2,-2.2,2.2,1.79999999999998,-1.79999999999998,1.79999999999998,-1.79999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.250597799982643,,,,4.236567099986132,4.250597799982643,4.250597799982643,4.250597799982643,4.250597799982643,4.536036799981957,None,4.53629779999028,4.550802099984139,4.550802099984139,4.550802099984139,4.550802099984139,4.836219999997411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,8,8,0,2.2,-2.2,-2.2,2.2,1.89999999999998,-1.89999999999998,1.89999999999998,-1.89999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,4.850502399989637,,,,4.836589399987133,4.850502399989637,4.850502399989637,4.850502399989637,4.850502399989637,5.122839199990267,None,5.123381199984578,5.134870399982901,5.134870399982901,5.134870399982901,5.134870399982901,5.4227651999972295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
Estimulo_12,9,9,0,2.2,-2.2,-2.2,2.2,1.99999999999998,-1.99999999999998,1.99999999999998,-1.99999999999998,None,None,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,5.434922499989625,,,,5.423519099975238,5.434922499989625,5.434922499989625,5.434922499989625,5.434922499989625,5.722655599995051,None,5.7232000999792945,5.734827399981441,5.734827399981441,5.734827399981441,5.734827399981441,6.020952399994712,None,6.034186999982921,6.034186999982921,6.034186999982921,6.034186999982921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996964,001,2025-03-24_13h31.12.888,Estimulo_ICE,2024.2.4,61.84930664363458,2025-03-24 13h32.23.590689 -0300,
