LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_7,0,0,0,2.2,-2.2,-2.2,2.2,4.4,-4.4,4.4,-4.4,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.11950499999966269,,0.022975099999712256,0.02333749999979773,0.10668349999923521,0.11950499999966269,0.11950499999966269,0.11950499999966269,0.32198979999975563,0.3222212999999101,0.3358831999994436,0.3358831999994436,0.3358831999994436,0.635918899999524,0.635918899999524,0.635918899999524,0.621920599999612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,1,1,0,2.2,-2.2,-2.2,2.2,4.3,-4.3,4.3,-4.3,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0.635918899999524,,,,0.6222893999993175,0.635918899999524,0.635918899999524,0.635918899999524,0.921815599999718,0.9220666999999594,0.9359065999997256,0.9359065999997256,0.9359065999997256,1.2359006999995472,1.2359006999995472,1.2359006999995472,1.2218205999997735,0.9359065999997256,0.9359065999997256,0.9359065999997256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,2,2,0,2.2,-2.2,-2.2,2.2,4.2,-4.2,4.2,-4.2,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1.2359006999995472,,,,1.222188599999754,1.2359006999995472,1.2359006999995472,1.2359006999995472,1.5218780999994124,1.522129899999527,1.5359957999999097,1.5359957999999097,1.5359957999999097,1.8358559999996942,1.8358559999996942,1.8358559999996942,1.8218608999995922,1.5359957999999097,1.5359957999999097,1.5359957999999097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,3,3,0,2.2,-2.2,-2.2,2.2,4.1,-4.1,4.1,-4.1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1.8358559999996942,,,,1.8222111999994013,1.8358559999996942,1.8358559999996942,1.8358559999996942,2.1218387999997503,2.1220900999996957,2.135941899999125,2.135941899999125,2.135941899999125,2.4359247999991567,2.4359247999991567,2.4359247999991567,2.4216836999994484,2.135941899999125,2.135941899999125,2.135941899999125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,4,4,0,2.2,-2.2,-2.2,2.2,4,-4,4,-4,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,2.4359247999991567,,,,2.422049299999344,2.4359247999991567,2.4359247999991567,2.4359247999991567,2.7218466999993325,2.7221004999992147,2.7359748999997464,2.7359748999997464,2.7359748999997464,3.0358877999997276,3.0358877999997276,3.0358877999997276,3.021691099999771,2.7359748999997464,2.7359748999997464,2.7359748999997464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,5,5,0,2.2,-2.2,-2.2,2.2,3.9,-3.9,3.9,-3.9,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,3.0358877999997276,,,,3.0220564999999624,3.0358877999997276,3.0358877999997276,3.0358877999997276,3.3217991999999867,3.322050499999932,3.3357262999998056,3.3357262999998056,3.3357262999998056,3.6359397999995053,3.6359397999995053,3.6359397999995053,3.6218747999992047,3.3357262999998056,3.3357262999998056,3.3357262999998056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,6,6,0,2.2,-2.2,-2.2,2.2,3.8,-3.8,3.8,-3.8,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,3.6359397999995053,,,,3.622244299999693,3.6359397999995053,3.6359397999995053,3.6359397999995053,3.921841499999573,3.9220926999996664,3.9358885999999984,3.9358885999999984,3.9358885999999984,4.2359529999994265,4.2359529999994265,4.2359529999994265,4.2218293999994785,3.9358885999999984,3.9358885999999984,3.9358885999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,7,7,0,2.2,-2.2,-2.2,2.2,3.7,-3.7,3.7,-3.7,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,4.2359529999994265,,,,4.222183099999711,4.2359529999994265,4.2359529999994265,4.2359529999994265,4.521794699999191,4.52204729999994,4.535723199999666,4.535723199999666,4.535723199999666,4.835911799999849,4.835911799999849,4.835911799999849,4.821884999999384,4.535723199999666,4.535723199999666,4.535723199999666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,8,8,0,2.2,-2.2,-2.2,2.2,3.6,-3.6,3.6,-3.6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,4.835911799999849,,,,4.822251299999152,4.835911799999849,4.835911799999849,4.835911799999849,5.121671699999752,5.121923899999274,5.135935599999357,5.135935599999357,5.135935599999357,5.435848799999803,5.435848799999803,5.435848799999803,5.421759599999859,5.135935599999357,5.135935599999357,5.135935599999357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,9,9,0,2.2,-2.2,-2.2,2.2,3.5,-3.5,3.5,-3.5,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,5.435848799999803,,,,5.422127699999692,5.435848799999803,5.435848799999803,5.435848799999803,5.721839399999226,5.722081899999466,5.736261299999569,5.736261299999569,5.736261299999569,6.035941799999819,6.035941799999819,6.035941799999819,6.021814099999574,5.736261299999569,5.736261299999569,5.736261299999569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
