LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_9,0,0,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16,0.12677720000010595,,0.017426700000214623,0.017726199999742676,0.11706150000009075,0.12677720000010595,0.12677720000010595,0.12677720000010595,0.3287577999999485,0.3289779999995517,0.3431903999999122,0.3431903999999122,0.3431903999999122,0.6288039999999455,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,1,1,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,0.6431811000002199,,,,0.6291478000002826,0.6431811000002199,0.6431811000002199,0.6431811000002199,0.9287751000001663,0.9290112999997291,0.943160199999511,0.943160199999511,0.943160199999511,1.2285996999999043,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,2,2,0,1.09999999999999,-1.09999999999998,1.09999999999999,-1.09999999999998,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,33,1.2432404999999562,,,,1.2289228999998159,1.2432404999999562,1.2432404999999562,1.2432404999999562,1.5285610999999335,1.5287946999997075,1.5432028999994145,1.5432028999994145,1.5432028999994145,1.8288007000001016,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,3,3,0,1.29999999999999,-1.29999999999998,1.29999999999999,-1.29999999999998,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,31,1.8432023999994271,,,,1.8291456999995717,1.8432023999994271,1.8432023999994271,1.8432023999994271,2.1287547000001723,2.1289882000000944,2.1431072999994285,2.1431072999994285,2.1431072999994285,2.428763599999911,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.4430372999995598,,,,2.4291041999995286,2.4430372999995598,2.4430372999995598,2.4430372999995598,2.7287594999997964,2.7289936999995916,2.7431250999998156,2.7431250999998156,2.7431250999998156,3.0286513999999443,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,5,5,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,3.043157500000234,,,,3.02899509999952,3.043157500000234,3.043157500000234,3.043157500000234,3.3286836999996012,3.328921700000137,3.3431577999999718,3.3431577999999718,3.3431577999999718,3.6287531999996645,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,6,6,0,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,21,3.642999200000304,,,,3.6291001999998116,3.642999200000304,3.642999200000304,3.642999200000304,3.9287913999996817,3.9290283000000272,3.9431431000002704,3.9431431000002704,3.9431431000002704,4.228655500000059,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,7,7,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,18,4.243116099999497,,,,4.229002299999593,4.243116099999497,4.243116099999497,4.243116099999497,4.528750800000125,4.528987599999709,4.5431001999995715,4.5431001999995715,4.5431001999995715,4.828697699999793,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,8,8,0,1.69999999999999,-1.69999999999999,1.69999999999999,-1.69999999999999,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,27,4.843184899999869,,,,4.829040200000236,4.843184899999869,4.843184899999869,4.843184899999869,5.128712300000188,5.128950399999667,5.143113899999662,5.143113899999662,5.143113899999662,5.430141300000287,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
Estimulo_9,9,9,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,14,5.443294099999548,,,,5.430527200000142,5.443294099999548,5.443294099999548,5.443294099999548,5.728575899999669,5.7288112999995064,5.743238299999575,5.743238299999575,5.743238299999575,6.02866129999984,420243,001,2025-03-17_15h18.34.992,Estimulo_ICE,2024.2.4,60.002184079541365,2025-03-17 15h18.52.461223 -0300,
