LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_2.rt,key_resp_2.duration,key_resp_4.keys,key_resp_5.keys,key_resp_4.rt,key_resp_4.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_2.key_resp_3.keys,loop_2.key_resp_3.rt,loop_2.key_resp_3.duration,loop_2.key_resp_2.rt,loop_2.key_resp_2.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_5.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,loop_3.key_resp_2.keys,loop_3.key_resp_3.keys,loop_3.key_resp_2.rt,loop_3.key_resp_2.duration,image_3.stopped,image_4.stopped,polygon_2.stopped,key_resp_3.stopped,loop_8.key_resp_4.keys,loop_8.key_resp_5.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,10,10,0,2.1,-2.1,2.1,-2.1,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.062341800000013,,,,6.04829970000003,6.062341800000013,6.062341800000013,6.062341800000013,6.062341800000013,6.348015700000019,None,6.348274100000026,6.36246570000003,6.36246570000003,6.36246570000003,6.36246570000003,6.647986300000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,11,11,0,2.2,-2.2,2.2,-2.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.662359900000013,,,,6.648356100000001,6.662359900000013,6.662359900000013,6.662359900000013,6.662359900000013,6.947897399999988,None,6.948148900000035,6.9622989000000075,6.9622989000000075,6.9622989000000075,6.9622989000000075,7.247872900000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,12,12,0,2.3,-2.3,2.3,-2.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2623173000000065,,,,7.248228900000015,7.2623173000000065,7.2623173000000065,7.2623173000000065,7.2623173000000065,7.547996899999987,None,7.548242399999992,7.562327900000014,7.562327900000014,7.562327900000014,7.562327900000014,7.847872800000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,13,13,0,2.4,-2.4,2.4,-2.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.862330299999996,,,,7.848222899999996,7.862330299999996,7.862330299999996,7.862330299999996,7.862330299999996,8.148072300000024,None,8.148318500000016,8.162310400000024,8.162310400000024,8.162310400000024,8.162310400000024,8.44789860000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,14,14,0,2.5,-2.5,2.5,-2.5,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.462172900000041,,,,8.448248200000023,8.462172900000041,8.462172900000041,8.462172900000041,8.462172900000041,8.747844900000018,None,8.7480908,8.762308700000006,8.762308700000006,8.762308700000006,8.762308700000006,9.0478612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,15,15,0,2.6,-2.6,2.6,-2.6,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.062312600000041,,,,9.04821370000002,9.062312600000041,9.062312600000041,9.062312600000041,9.062312600000041,9.347985400000027,None,9.348244300000033,9.362254800000017,9.362254800000017,9.362254800000017,9.362254800000017,9.656329200000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,16,16,0,2.7,-2.7,2.7,-2.7,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.661753900000008,,,,9.656674800000019,9.661753900000008,9.661753900000008,9.661753900000008,9.661753900000008,9.949853700000006,None,9.950261100000034,9.962855700000034,9.962855700000034,9.962855700000034,9.962855700000034,10.24790360000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,17,17,0,2.8,-2.8,2.8,-2.8,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26222150000001,,,,10.248255900000004,10.26222150000001,10.26222150000001,10.26222150000001,10.26222150000001,10.547900400000003,None,10.54814250000004,10.562435100000016,10.562435100000016,10.562435100000016,10.562435100000016,10.851723800000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,18,18,0,2.9,-2.9,2.9,-2.9,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.863394000000028,,,,10.852482699999996,10.863394000000028,10.863394000000028,10.863394000000028,10.863394000000028,11.151168000000041,None,11.151685600000008,11.163230800000008,11.163230800000008,11.163230800000008,11.163230800000008,11.451246200000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
Estimulo_2,19,19,0,3,-3,3,-3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.463065800000038,,,,11.451961700000027,11.463065800000038,11.463065800000038,11.463065800000038,11.463065800000038,11.747695000000022,None,11.747920800000031,11.762242700000002,11.762242700000002,11.762242700000002,11.762242700000002,12.04786039999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitolomeu,001,2025-03-21_14h24.58.586,Estimulo_ICE,2024.2.4,60.098826510315476,2025-03-21 14h25.10.268475 -0300,
