LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_2.rt,key_resp_2.duration,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,text.started,trial.stopped,loop_1.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_1.key_resp_3.keys,loop_1.key_resp_3.rt,loop_1.key_resp_3.duration,loop_1.key_resp_2.rt,loop_1.key_resp_2.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_9.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_9.key_resp_7.keys,loop_9.key_resp_6.rt,loop_9.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12761030000001483,,0.01802029999998922,0.018414099999972677,0.036890500000026805,0.12761030000001483,0.12761030000001483,0.12761030000001483,0.12761030000001483,0.12761030000001483,0.3288158000000294,None,0.3290366000001086,0.3433397000003424,0.3433397000003424,0.3433397000003424,0.3433397000003424,0.6288637000002382,None,,,,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6431365000003098,,,,0.6292147000003752,0.6431365000003098,0.6431365000003098,0.6431365000003098,0.6431365000003098,0.6431365000003098,0.9287543000000369,None,0.9289863000003606,0.9431555000001026,0.9431555000001026,0.9431555000001026,0.9431555000001026,1.2286854000003586,None,,,,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2431066000003739,,,,1.2290579000000434,1.2431066000003739,1.2431066000003739,1.2431066000003739,1.2431066000003739,1.2431066000003739,1.5286940000000868,None,1.5289267000002837,1.543194300000323,1.543194300000323,1.543194300000323,1.543194300000323,1.8288970000003246,None,,,,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84315289999995,,,,1.8292169000001195,1.84315289999995,1.84315289999995,1.84315289999995,1.84315289999995,1.84315289999995,2.1290662999999768,None,2.129297299999962,2.1432644999999866,2.1432644999999866,2.1432644999999866,2.1432644999999866,2.429000900000119,None,,,,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,['up'],[0.13257429999976011],[None],,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.443337700000029,,,,2.4293258000002425,2.443337700000029,2.443337700000029,2.443337700000029,2.443337700000029,2.443337700000029,2.729033300000083,None,2.7292749000002914,2.7435192000002644,2.7435192000002644,2.7435192000002644,2.7435192000002644,3.040996300000188,['up'],[0.13257429999976011],[None],,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,['right'],[0.13256349999983286],[None],,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0591319000000112,,,,3.0413527000000613,3.0591319000000112,3.0591319000000112,3.0591319000000112,3.0591319000000112,3.0591319000000112,3.3290117999999893,None,3.3293063999999504,3.343376000000262,3.343376000000262,3.343376000000262,3.343376000000262,3.628778400000101,['right'],[0.13256349999983286],[None],,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,['right'],[0.18001120000008086],[None],,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6434041000002253,,,,3.6291599000001042,3.6434041000002253,3.6434041000002253,3.6434041000002253,3.6434041000002253,3.6434041000002253,3.9285742000001846,None,3.9288069000003816,3.943343000000368,3.943343000000368,3.943343000000368,3.943343000000368,4.228948700000274,['right'],[0.18001120000008086],[None],,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,['up'],None,,,[0.1608926999997493],[None],,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.243345000000318,,,,4.229308400000264,4.243345000000318,4.243345000000318,4.243345000000318,4.243345000000318,4.243345000000318,4.529021600000306,['up'],4.529338499999994,4.543290400000387,4.543290400000387,4.543290400000387,4.543290400000387,4.828522199999952,None,,,[0.1608926999997493],[None],,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,['up'],None,,,[0.2481353000002855],[None],,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.843065700000352,,,,4.828888100000313,4.843065700000352,4.843065700000352,4.843065700000352,4.843065700000352,4.843065700000352,5.1288548000002265,['up'],5.129109400000289,5.1432834000002,5.1432834000002,5.1432834000002,5.1432834000002,5.428737500000352,None,,,[0.2481353000002855],[None],,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
Estimulo_1,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.443192700000054,,,,5.4290915999999925,5.443192700000054,5.443192700000054,5.443192700000054,5.443192700000054,5.443192700000054,5.728674899999987,None,5.728950800000348,5.743310100000144,5.743310100000144,5.743310100000144,5.743310100000144,6.028511299999991,None,,,,,,,,,,,,,,,,,,,,,,,,264151,001,2025-03-24_14h57.36.379,Estimulo_ICE,2024.2.4,60.58979316467332,2025-03-24 14h57.41.722613 -0300,
