LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,text.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,trial_2.stopped,loop_2.key_resp_3.keys,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,loop_2.key_resp_3.rt,loop_2.key_resp_3.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8972061000000053,,0.24649239999996553,0.24713370000000623,0.38517980000000307,0.8972061000000053,0.8972061000000053,0.8972061000000053,0.8972061000000053,0.8972061000000053,0.89980079999998,None,0.9000257999999803,0.9000654999999824,None,,,,,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9138507999999774,,,,0.9003369999999791,0.9138507999999774,0.9138507999999774,0.9138507999999774,0.9138507999999774,0.9138507999999774,1.148743799999977,None,1.1489953999999898,1.4548937000000137,None,1.1632121999999754,1.1632121999999754,1.1632121999999754,1.1632121999999754,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4803253999999697,,,,1.4559299999999666,1.4803253999999697,1.4803253999999697,1.4803253999999697,1.4803253999999697,1.4803253999999697,1.7515755000000013,None,1.7520354000000111,2.048821499999974,None,1.7638584000000037,1.7638584000000037,1.7638584000000037,1.7638584000000037,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.063325700000007,,,,2.0492216999999755,2.063325700000007,2.063325700000007,2.063325700000007,2.063325700000007,2.063325700000007,2.3486696999999594,None,2.3489233999999897,2.6486342999999692,None,2.363053499999978,2.363053499999978,2.363053499999978,2.363053499999978,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6631818999999837,,,,2.6489918999999986,2.6631818999999837,2.6631818999999837,2.6631818999999837,2.6631818999999837,2.6631818999999837,2.94873309999997,None,2.9489843000000064,3.254823999999985,None,2.9629932999999937,2.9629932999999937,2.9629932999999937,2.9629932999999937,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,None,['up'],[0.22920259999995096],[None],,,,,0,0,0,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2803528999999685,,,,3.2558707000000027,3.2803528999999685,3.2803528999999685,3.2803528999999685,3.2803528999999685,3.2803528999999685,3.5486946999999986,None,3.5489475999999627,3.9852784999999926,['up'],3.5629035000000044,3.5629035000000044,3.5629035000000044,3.5629035000000044,[0.22920259999995096],[None],,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9977316000000087,,,,3.9861675999999875,3.9977316000000087,3.9977316000000087,3.9977316000000087,3.9977316000000087,3.9977316000000087,4.148678799999971,None,4.14893079999996,4.4487622999999985,None,4.163129999999967,4.163129999999967,4.163129999999967,4.163129999999967,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,None,['up'],[0.2050141999999937],[None],,,,,0,0,0,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.463070200000004,,,,4.4491208999999685,4.463070200000004,4.463070200000004,4.463070200000004,4.463070200000004,4.463070200000004,4.748655100000008,None,4.748907999999972,5.048617199999967,['up'],4.763093599999991,4.763093599999991,4.763093599999991,4.763093599999991,[0.2050141999999937],[None],,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,None,['right'],[0.1094309999999723],[None],,,,,0,0,0,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.063078599999983,,,,5.049000599999999,5.063078599999983,5.063078599999983,5.063078599999983,5.063078599999983,5.063078599999983,5.34873859999999,None,5.348991000000012,5.648652599999991,['right'],5.363117799999998,5.363117799999998,5.363117799999998,5.363117799999998,[0.1094309999999723],[None],,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
Estimulo_2,9,9,0,2,-2,2,-2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6629285999999865,,,,5.649035200000014,5.6629285999999865,5.6629285999999865,5.6629285999999865,5.6629285999999865,5.6629285999999865,5.948701700000015,None,5.948955899999987,6.248612299999991,None,5.963071599999978,5.963071599999978,5.963071599999978,5.963071599999978,,,,,,,,,,,,,,,,,,,,,,030493,001,2025-03-24_14h17.08.745,Estimulo_ICE,2024.2.4,60.101065952497905,2025-03-24 14h17.20.924798 -0300,
