LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_4,0,0,0,2.2,-2.2,-2.2,2.2,1.09999999999998,-1.09999999999998,1.09999999999998,-1.09999999999998,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07919880000008561,,0.022129999999378924,0.022440299999288982,0.07063809999999648,0.07919880000008561,0.07919880000008561,0.07919880000008561,0.331316799999513,0.3315365999997084,0.3455992999997761,0.3455992999997761,0.3455992999997761,0.6312512999993487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,1,1,0,2.2,-2.2,-2.2,2.2,1.19999999999998,-1.19999999999998,1.19999999999998,-1.19999999999998,0,0,0,3,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6456564000000071,,,,0.6315995999993902,0.6456564000000071,0.6456564000000071,0.6456564000000071,0.9312171000001399,0.9314539999995759,0.9454446999998254,0.9454446999998254,0.9454446999998254,1.231203899999855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,2,2,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,0,0,0,3,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2454490999998598,,,,1.2315602999997282,1.2454490999998598,1.2454490999998598,1.2454490999998598,1.5314134000000195,1.5316472999993493,1.5457304999999906,1.5457304999999906,1.5457304999999906,1.8310559999999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,3,3,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,0,0,0,3,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8456204999993133,,,,1.8314034999993964,1.8456204999993133,1.8456204999993133,1.8456204999993133,2.131214,2.1314488999996684,2.1456434000001536,2.1456434000001536,2.1456434000001536,2.4311539000000266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,4,4,0,2.2,-2.2,-2.2,2.2,1.49999999999998,-1.49999999999998,1.49999999999998,-1.49999999999998,0,0,0,3,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4456642999994074,,,,2.431499199999962,2.4456642999994074,2.4456642999994074,2.4456642999994074,2.7312936999996964,2.7315302999995765,2.745503000000099,2.745503000000099,2.745503000000099,3.031224199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,5,5,0,2.2,-2.2,-2.2,2.2,1.59999999999998,-1.59999999999998,1.59999999999998,-1.59999999999998,0,0,0,3,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.045655299999453,,,,3.0315731999999116,3.045655299999453,3.045655299999453,3.045655299999453,3.3312071999998807,3.331441299999824,3.3456203999994614,3.3456203999994614,3.3456203999994614,3.6310232999994696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,6,6,0,2.2,-2.2,-2.2,2.2,1.69999999999998,-1.69999999999998,1.69999999999998,-1.69999999999998,0,0,0,3,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64570459999959,,,,3.6313712999999552,3.64570459999959,3.64570459999959,3.64570459999959,3.9312826999994286,3.931515799999943,3.945372799999859,3.945372799999859,3.945372799999859,4.231124899999486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,7,7,0,2.2,-2.2,-2.2,2.2,1.79999999999998,-1.79999999999998,1.79999999999998,-1.79999999999998,0,0,0,3,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2456760999994,,,,4.2314698999998654,4.2456760999994,4.2456760999994,4.2456760999994,4.531162999999651,4.531397299999298,4.545586700000058,4.545586700000058,4.545586700000058,4.831142099999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,8,8,0,2.2,-2.2,-2.2,2.2,1.89999999999998,-1.89999999999998,1.89999999999998,-1.89999999999998,0,0,0,3,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.845599399999628,,,,4.831484599999385,4.845599399999628,4.845599399999628,4.845599399999628,5.1312183000000005,5.131451299999753,5.14564799999971,5.14564799999971,5.14564799999971,5.431170599999859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
Estimulo_4,9,9,0,2.2,-2.2,-2.2,2.2,1.99999999999998,-1.99999999999998,1.99999999999998,-1.99999999999998,0,0,0,3,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44538299999931,,,,5.431516900000133,5.44538299999931,5.44538299999931,5.44538299999931,5.731142900000123,5.731379199999537,5.745596299999306,5.745596299999306,5.745596299999306,6.031010900000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725547,001,2025-03-17_15h34.37.279,Estimulo_ICE,2024.2.4,60.01165426303333,2025-03-17 15h34.42.403419 -0300,
