LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.rt,key_resp_3.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,trial.stopped,loop_1.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_1.key_resp_3.keys,loop_1.key_resp_2.rt,loop_1.key_resp_2.duration,loop_1.key_resp_3.rt,loop_1.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,0,0,9,9,9,5.438848900000039,,,,,,5.424664600000142,5.438848900000039,5.438848900000039,5.438848900000039,5.438848900000039,5.724246800000174,None,5.724492300000065,5.738755200000014,5.738755200000014,5.738755200000014,5.738755200000014,6.024147300000095,None,,,,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,0,0,10,10,10,6.038714300000038,,,,,,6.024514100000033,6.038714300000038,6.038714300000038,6.038714300000038,6.038714300000038,6.3243209000002025,None,6.324565900000152,6.338724400000046,6.338724400000046,6.338724400000046,6.338724400000046,6.629856000000018,None,,,,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,0,0,11,11,11,6.640553000000182,,,,,,6.630825700000059,6.640553000000182,6.640553000000182,6.640553000000182,6.640553000000182,6.941282800000181,None,6.9421173000000636,6.955763900000193,6.955763900000193,6.955763900000193,6.955763900000193,7.22766700000011,None,,,,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,['right'],None,[0.1095029999999042],[0.1522935000000416],,,0,0,0,0,0,12,12,12,7.239830600000005,,,,,,7.228395700000192,7.239830600000005,7.239830600000005,7.239830600000005,7.239830600000005,7.524258900000177,['right'],7.524532600000157,7.538560300000199,7.538560300000199,7.538560300000199,7.538560300000199,7.82440900000006,None,[0.1095029999999042],[0.1522935000000416],,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,"['right', 'right']",['right'],"[-0.0099608000000444, 0.2701835000000301]","[0.12088970000013433, None]",[0.16239699999982804],[0.0791065000000799],0,0,0,0,0,13,13,13,7.838733200000206,,,,,,7.824768899999981,7.838733200000206,7.838733200000206,7.838733200000206,7.838733200000206,8.128158800000165,"['right', 'right']",8.12875720000011,8.139605000000074,8.139605000000074,8.139605000000074,8.139605000000074,8.425484300000107,['right'],"[-0.0099608000000444, 0.2701835000000301]","[0.12088970000013433, None]",[0.16239699999982804],[0.0791065000000799],980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,['right'],None,[0.061586499999975786],[0.08863980000000993],,,0,0,0,0,0,14,14,14,8.439050800000132,,,,,,8.426030000000083,8.439050800000132,8.439050800000132,8.439050800000132,8.439050800000132,8.72442890000002,['right'],8.724670800000013,8.73877890000017,8.73877890000017,8.73877890000017,8.73877890000017,9.024188800000047,None,[0.061586499999975786],[0.08863980000000993],,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,0,0,0,0,0,15,15,15,9.038825000000088,,,,,,9.0245460000001,9.038825000000088,9.038825000000088,9.038825000000088,9.038825000000088,9.32428630000004,None,9.32454810000013,9.338698900000054,9.338698900000054,9.338698900000054,9.338698900000054,9.628580600000078,None,,,,,980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,['right'],['right'],[0.12480860000005123],[0.07182230000012169],[0.043062799999916024],[0.0794800999999552],0,0,0,0,0,16,16,16,9.63996270000007,,,,,,9.629407800000081,9.63996270000007,9.63996270000007,9.63996270000007,9.63996270000007,9.924422100000129,['right'],9.924735000000055,9.938639700000067,9.938639700000067,9.938639700000067,9.938639700000067,10.227522300000146,['right'],[0.12480860000005123],[0.07182230000012169],[0.043062799999916024],[0.0794800999999552],980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
Estimulo_1,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,None,['right'],,,[0.2852331999999933],[0.07251200000018798],0,0,0,0,0,17,17,17,10.23960390000002,,,,,,10.228299600000128,10.23960390000002,10.23960390000002,10.23960390000002,10.23960390000002,10.527540300000055,None,10.528047000000015,10.539693600000192,10.539693600000192,10.539693600000192,10.539693600000192,10.827690100000154,['right'],,,[0.2852331999999933],[0.07251200000018798],980701,001,2025-03-26_15h32.21.703,Estimulo_ICE,2024.2.4,61.28322163445787,2025-03-26 15h32.26.480118 -0300,
,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,,,,,,,,,,,0,18,18,18,10.839678800000002,,,,,,10.828466400000025,10.839678800000002,10.839678800000002,10.839678800000002,10.839678800000002,,,,,,,,,,,,,,,,,,,,,
