LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_4.keys,key_resp_5.keys,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_9.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_9.key_resp_7.keys,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_6.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_9,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,6.049303099999634,,,,6.036320899999737,6.049303099999634,6.049303099999634,6.049303099999634,6.049303099999634,6.3345714999995835,None,6.334814599999845,6.348963499999627,6.348963499999627,6.348963499999627,6.348963499999627,6.6349795999999515,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,6.6493930999999975,,,,6.63532049999958,6.6493930999999975,6.6493930999999975,6.6493930999999975,6.6493930999999975,6.934601499999644,None,6.934837499999958,6.949108099999648,6.949108099999648,6.949108099999648,6.949108099999648,7.236496799999713,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,7.250094199999694,,,,7.236828699999933,7.250094199999694,7.250094199999694,7.250094199999694,7.250094199999694,7.534740799999781,None,7.534978499999852,7.5489699999998265,7.5489699999998265,7.5489699999998265,7.5489699999998265,7.834914299999582,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,7.849436999999853,,,,7.835296299999754,7.849436999999853,7.849436999999853,7.849436999999853,7.849436999999853,8.134564999999839,None,8.134813199999826,8.149126799999976,8.149126799999976,8.149126799999976,8.149126799999976,8.435630899999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,8.449268599999868,,,,8.435969499999828,8.449268599999868,8.449268599999868,8.449268599999868,8.449268599999868,8.734672299999602,None,8.734932199999548,8.74900979999984,8.74900979999984,8.74900979999984,8.74900979999984,9.037055499999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,9.051399899999979,,,,9.037444699999924,9.051399899999979,9.051399899999979,9.051399899999979,9.051399899999979,9.335479999999734,None,9.335719099999551,9.35029059999988,9.35029059999988,9.35029059999988,9.35029059999988,9.636941899999783,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,9.651492399999825,,,,9.637300299999879,9.651492399999825,9.651492399999825,9.651492399999825,9.651492399999825,9.936651199999687,None,9.93690179999976,9.951425299999755,9.951425299999755,9.951425299999755,9.951425299999755,10.234952799999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,10.249387299999853,,,,10.235314599999583,10.249387299999853,10.249387299999853,10.249387299999853,10.249387299999853,10.534974999999577,None,10.535226399999829,10.549606099999892,10.549606099999892,10.549606099999892,10.549606099999892,10.83510269999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,10.849360899999738,,,,10.835463699999764,10.849360899999738,10.849360899999738,10.849360899999738,10.849360899999738,11.135039799999959,None,11.135291799999777,11.14947809999967,11.14947809999967,11.14947809999967,11.14947809999967,11.43521649999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,19,19,0,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,11.449496099999578,,,,11.435579099999813,11.449496099999578,11.449496099999578,11.449496099999578,11.449496099999578,11.7365077999998,None,11.736767299999883,11.7495643999996,11.7495643999996,11.7495643999996,11.7495643999996,12.03510389999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
