LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_4.rt,key_resp_4.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,text_3.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,text_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,text_4.stopped,trial_4.stopped,loop_6.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,text_3.stopped,loop_6.key_resp_4.rt,loop_6.key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007856799999899522,0.008198600000014267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.20530619999999544,,,,0.01262799999994968,0.012903399999686371,0.13654959999985294,0.20530619999999544,0.20530619999999544,0.20530619999999544,0.20530619999999544,0.20530619999999544,0.3084940999997343,None,0.30872109999972963,0.32107799999994313,0.32107799999994313,0.32107799999994313,0.32107799999994313,0.32107799999994313,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.6081312999999682,None,,,,,,,,464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.6212057999996432,,,,,,0.6085008999998536,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.6212057999996432,0.9082258999997066,None,0.9084695999999894,0.921098499999971,0.921098499999971,0.921098499999971,0.921098499999971,0.921098499999971,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.2082010999997692,None,0.921098499999971,0.921098499999971,0.921098499999971,0.921098499999971,0.921098499999971,,,464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,['right'],None,[0.15977610000027198],[None],0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.2212130999996589,,,,,,1.2085512999997263,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.2212130999996589,1.5085320999996839,['right'],1.508810799999992,1.5210622999998122,1.5210622999998122,1.5210622999998122,1.5210622999998122,1.5210622999998122,1.821154999999635,1.821154999999635,1.821154999999635,1.821154999999635,1.821154999999635,1.8081985999997414,None,1.5210622999998122,1.5210622999998122,1.5210622999998122,1.5210622999998122,1.5210622999998122,[0.15977610000027198],[None],464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1.821154999999635,,,,,,1.8085668999997324,1.821154999999635,1.821154999999635,1.821154999999635,1.821154999999635,1.821154999999635,2.107949599999756,None,2.108189599999605,2.1212894999998753,2.1212894999998753,2.1212894999998753,2.1212894999998753,2.1212894999998753,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.408245199999783,None,2.1212894999998753,2.1212894999998753,2.1212894999998753,2.1212894999998753,2.1212894999998753,,,464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,['right'],None,[0.1431843000000299],[None],0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.4211083999998664,,,,,,2.408610399999816,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.4211083999998664,2.7085481999997683,['right'],2.708828999999696,2.721081299999696,2.721081299999696,2.721081299999696,2.721081299999696,2.721081299999696,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.0082093999999415,None,2.721081299999696,2.721081299999696,2.721081299999696,2.721081299999696,2.721081299999696,[0.1431843000000299],[None],464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,['up'],None,[0.06325450000031196],[None],0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.0211520999996537,,,,,,3.0085768999997526,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.0211520999996537,3.308240500000011,['up'],3.308521599999949,3.3209014999997635,3.3209014999997635,3.3209014999997635,3.3209014999997635,3.3209014999997635,3.6210616999997,3.6210616999997,3.6210616999997,3.6210616999997,3.6210616999997,3.608190199999626,None,3.3209014999997635,3.3209014999997635,3.3209014999997635,3.3209014999997635,3.3209014999997635,[0.06325450000031196],[None],464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
Estimulo_6,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.6210616999997,,,,,,3.608554699999786,3.6210616999997,3.6210616999997,3.6210616999997,3.6210616999997,3.6210616999997,3.9081006999999772,None,3.9083550999998806,3.9210674999999355,3.9210674999999355,3.9210674999999355,3.9210674999999355,3.9210674999999355,4.220947899999828,4.220947899999828,4.220947899999828,4.220947899999828,4.220947899999828,4.208085799999935,None,3.9210674999999355,3.9210674999999355,3.9210674999999355,3.9210674999999355,3.9210674999999355,,,464492,001,2025-03-26_15h51.51.155,Estimulo_ICE,2024.2.4,59.905098343135215,2025-03-26 15h51.55.289562 -0300,
,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.220947899999828,,,,,,4.208450599999651,4.220947899999828,4.220947899999828,4.220947899999828,4.220947899999828,4.220947899999828,4.508056099999976,None,4.508309499999996,4.520916099999795,4.520916099999795,4.520916099999795,4.520916099999795,4.520916099999795,4.821611599999869,4.821611599999869,4.821611599999869,4.821611599999869,4.821611599999869,,,4.520916099999795,4.520916099999795,4.520916099999795,4.520916099999795,4.520916099999795,,,,,,,,,,
