LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.048968799999784,,,,6.034788699999808,6.048968799999784,6.048968799999784,6.048968799999784,6.334278899999845,6.3345173999996405,6.348969499999839,6.348969499999839,6.348969499999839,6.634486599999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64884499999971,,,,6.63483929999984,6.64884499999971,6.64884499999971,6.64884499999971,6.934401499999694,6.934636699999828,6.948722199999793,6.948722199999793,6.948722199999793,7.234369299999344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24876569999924,,,,7.234712999999829,7.24876569999924,7.24876569999924,7.24876569999924,7.534419499999785,7.534657999999581,7.5489699999998265,7.5489699999998265,7.5489699999998265,7.834268399999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.848891499999809,,,,7.8346136999998635,7.848891499999809,7.848891499999809,7.848891499999809,8.134278799999265,8.134517099999357,8.148872299999312,8.148872299999312,8.148872299999312,8.434377900000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.448704200000066,,,,8.434720799999923,8.448704200000066,8.448704200000066,8.448704200000066,8.734400299999834,8.734637900000052,8.748933699999725,8.748933699999725,8.748933699999725,9.034417699999722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04867379999996,,,,9.034763099999509,9.04867379999996,9.04867379999996,9.04867379999996,9.334371500000088,9.334607899999355,9.348924999999326,9.348924999999326,9.348924999999326,9.634386599999743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.648928199999318,,,,9.634731899999679,9.648928199999318,9.648928199999318,9.648928199999318,9.936523599999418,9.936933699999827,9.949614699999984,9.949614699999984,9.949614699999984,10.236753099999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.249474299999747,,,,10.237350499999593,10.249474299999747,10.249474299999747,10.249474299999747,10.53450359999988,10.534716799999842,10.549024899999495,10.549024899999495,10.549024899999495,10.836527399999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.849714299999505,,,,10.837121900000056,10.849714299999505,10.849714299999505,10.849714299999505,11.134889099999782,11.135168199999498,11.149025199999414,11.149025199999414,11.149025199999414,11.434868699999242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,19,19,0,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.448942799999713,,,,11.435273699999925,11.448942799999713,11.448942799999713,11.448942799999713,11.73435100000006,11.73458810000011,11.748683199999505,11.748683199999505,11.748683199999505,12.034416399999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,20,20,0,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04868339999939,,,,12.034763099999509,12.04868339999939,12.04868339999939,12.04868339999939,12.334290599999804,12.334530399999494,12.348896099999365,12.348896099999365,12.348896099999365,12.634368099999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,21,21,0,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.648887800000011,,,,12.634715999999571,12.648887800000011,12.648887800000011,12.648887800000011,12.934340199999497,12.934574599999905,12.948778500000117,12.948778500000117,12.948778500000117,13.234320199999274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,22,22,0,2.19999999999999,-2.19999999999999,2.19999999999999,-2.19999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.248817199999394,,,,13.23466499999995,13.248817199999394,13.248817199999394,13.248817199999394,13.534222899999804,13.534460999999283,13.548904899999798,13.548904899999798,13.548904899999798,13.834350099999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,23,23,0,2.09999999999999,-2.09999999999999,2.09999999999999,-2.09999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.848837900000035,,,,13.834696099999746,13.848837900000035,13.848837900000035,13.848837900000035,14.134328000000096,14.13456319999932,14.148823399999856,14.148823399999856,14.148823399999856,14.434366499999669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,24,24,0,1.99999999999999,-1.99999999999999,1.99999999999999,-1.99999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.448626899999908,,,,14.43471259999933,14.448626899999908,14.448626899999908,14.448626899999908,14.734204999999747,14.734443499999543,14.748952199999621,14.748952199999621,14.748952199999621,15.034361999999419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,25,25,0,1.89999999999999,-1.89999999999999,1.89999999999999,-1.89999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.048869700000068,,,,15.034709799999291,15.048869700000068,15.048869700000068,15.048869700000068,15.334166199999345,15.334401699999944,15.348824899999272,15.348824899999272,15.348824899999272,15.634387699999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,26,26,0,1.79999999999999,-1.79999999999999,1.79999999999999,-1.79999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.648628999999346,,,,15.634742199999891,15.648628999999346,15.648628999999346,15.648628999999346,15.934473999999682,15.934720399999605,15.94885769999928,15.94885769999928,15.94885769999928,16.234330499999487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,27,27,0,1.69999999999999,-1.69999999999999,1.69999999999999,-1.69999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24861409999994,,,,16.234674199999972,16.24861409999994,16.24861409999994,16.24861409999994,16.5341755999998,16.534416200000123,16.548822499999915,16.548822499999915,16.548822499999915,16.83427329999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,28,28,0,1.59999999999999,-1.59999999999999,1.59999999999999,-1.59999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.848805699999502,,,,16.834622999999738,16.848805699999502,16.848805699999502,16.848805699999502,17.13429019999967,17.13452739999957,17.148861699999543,17.148861699999543,17.148861699999543,17.43433829999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,29,29,0,1.49999999999999,-1.49999999999998,1.49999999999999,-1.49999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.448799400000098,,,,17.434682999999495,17.448799400000098,17.448799400000098,17.448799400000098,17.734284399999524,17.734523299999637,17.74886189999961,17.74886189999961,17.74886189999961,18.034286000000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,30,30,0,1.39999999999999,-1.39999999999998,1.39999999999999,-1.39999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04856319999999,,,,18.034633199999917,18.04856319999999,18.04856319999999,18.04856319999999,18.334320399999342,18.334556199999497,18.34883119999995,18.34883119999995,18.34883119999995,18.634363199999825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,31,31,0,1.29999999999999,-1.29999999999998,1.29999999999999,-1.29999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.648609099999703,,,,18.634710299999824,18.648609099999703,18.648609099999703,18.648609099999703,18.934344399999645,18.934584300000097,18.9488080000001,18.9488080000001,18.9488080000001,19.234292000000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,32,32,0,1.19999999999999,-1.19999999999998,1.19999999999999,-1.19999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.248567799999364,,,,19.234643199999482,19.248567799999364,19.248567799999364,19.248567799999364,19.53754459999982,19.53804510000009,19.549752999999328,19.549752999999328,19.549752999999328,19.83754820000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,33,33,0,1.09999999999999,-1.09999999999998,1.09999999999999,-1.09999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.849705300000096,,,,19.838268499999685,19.849705300000096,19.849705300000096,19.849705300000096,20.13759889999983,20.13809289999972,20.149639499999466,20.149639499999466,20.149639499999466,20.437844099999893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.514882499999658,,,,,,,,,,,,,,20.503753899999538,20.514882499999658,20.514882499999658,20.514882499999658,20.718012799999997,20.718250899999475,20.73190009999962,20.73190009999962,20.73190009999962,21.03222310000001,21.03222310000001,21.03222310000001,21.017839999999524,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03222310000001,,,,,,,,,,,,,,21.01820679999946,21.03222310000001,21.03222310000001,21.03222310000001,21.3180212999996,21.318266599999333,21.33203969999977,21.33203969999977,21.33203969999977,21.63208940000004,21.63208940000004,21.63208940000004,21.617919299999812,21.33203969999977,21.33203969999977,21.33203969999977,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63208940000004,,,,,,,,,,,,,,21.618292099999962,21.63208940000004,21.63208940000004,21.63208940000004,21.91799219999939,21.91824649999944,21.932094799999504,21.932094799999504,21.932094799999504,22.232065799999873,22.232065799999873,22.232065799999873,22.2178473999993,21.932094799999504,21.932094799999504,21.932094799999504,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
