LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,6.041461100000561,,,,6.027290300000459,6.041461100000561,6.041461100000561,6.041461100000561,6.326995299999908,6.32722879999983,6.341417600000568,6.341417600000568,6.341417600000568,6.626991199999793,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,6.641549400000258,,,,6.627342499999941,6.641549400000258,6.641549400000258,6.641549400000258,6.926837500000147,6.927070800000365,6.941259199999877,6.941259199999877,6.941259199999877,7.226903900000252,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,7.2414974000002985,,,,7.227245699999912,7.2414974000002985,7.2414974000002985,7.2414974000002985,7.5267774000003556,7.527011799999855,7.541459699999905,7.541459699999905,7.541459699999905,7.826968600000328,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,7.841554999999971,,,,7.827312400000665,7.841554999999971,7.841554999999971,7.841554999999971,8.126976399999876,8.12721049999982,8.141501600000083,8.141501600000083,8.141501600000083,8.42697600000065,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,8.44138329999987,,,,8.427318500000183,8.44138329999987,8.44138329999987,8.44138329999987,8.726817900000242,8.727051800000481,8.741508400000384,8.741508400000384,8.741508400000384,9.026960500000314,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,9.041506100000333,,,,9.027303400000164,9.041506100000333,9.041506100000333,9.041506100000333,9.326755500000218,9.3269906000005,9.341411400000652,9.341411400000652,9.341411400000652,9.626809800000046,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,9.641386899999816,,,,9.627152600000045,9.641386899999816,9.641386899999816,9.641386899999816,9.926796200000354,9.927032000000509,9.94140250000055,9.94140250000055,9.94140250000055,10.226745900000424,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,10.241540500000156,,,,10.227090800000042,10.241540500000156,10.241540500000156,10.241540500000156,10.526948400000038,10.52718460000051,10.541474800000287,10.541474800000287,10.541474800000287,10.826977400000033,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,10.841239600000335,,,,10.827321499999925,10.841239600000335,10.841239600000335,10.841239600000335,11.12701030000062,11.127246000000014,11.141306700000314,11.141306700000314,11.141306700000314,11.426949900000182,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,19,19,0,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,11.441475000000537,,,,11.427295200000117,11.441475000000537,11.441475000000537,11.441475000000537,11.726748000000043,11.726986900000156,11.741455700000188,11.741455700000188,11.741455700000188,12.026949400000376,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
