LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,trial_4.stopped,image_7.stopped,image_8.stopped,polygon_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,image.stopped,image_2.stopped,polygon.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_7,0,0,0,2.2,-2.2,-2.2,2.2,4.4,-4.4,4.4,-4.4,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.11249540001153946,,0.01936630002455786,0.019809500023256987,0.10672840004554018,0.11249540001153946,0.11249540001153946,0.11249540001153946,0.320339200028684,0.3209177000098862,0.32978369999909773,0.32978369999909773,0.32978369999909773,0.6241035000421107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,1,1,0,2.2,-2.2,-2.2,2.2,4.3,-4.3,4.3,-4.3,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0.6445904000429437,,,,0.6255095000378788,0.6445904000429437,0.6445904000429437,0.6445904000429437,0.917798800044693,0.9183175000362098,0.9295241000363603,0.9295241000363603,0.9295241000363603,1.2180559000116773,1.2294277000473812,1.2294277000473812,1.2294277000473812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,2,2,0,2.2,-2.2,-2.2,2.2,4.2,-4.2,4.2,-4.2,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1.2294277000473812,,,,1.2187948999926448,1.2294277000473812,1.2294277000473812,1.2294277000473812,1.5178588000126183,1.5183759999927133,1.5295641000266187,1.5295641000266187,1.5295641000266187,1.8181877000024542,1.8294208000297658,1.8294208000297658,1.8294208000297658,1.5295641000266187,1.5295641000266187,1.5295641000266187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,3,3,0,2.2,-2.2,-2.2,2.2,4.1,-4.1,4.1,-4.1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1.8294208000297658,,,,1.8189302000100724,1.8294208000297658,1.8294208000297658,1.8294208000297658,2.1178569000330754,2.1183750000200234,2.129545300034806,2.129545300034806,2.129545300034806,2.417912900040392,2.4293762000161223,2.4293762000161223,2.4293762000161223,2.129545300034806,2.129545300034806,2.129545300034806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,4,4,0,2.2,-2.2,-2.2,2.2,4,-4,4,-4,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,2.4293762000161223,,,,2.4186485999962315,2.4293762000161223,2.4293762000161223,2.4293762000161223,2.7237860000459477,2.7247184000443667,2.7463453999953344,2.7463453999953344,2.7463453999953344,3.019390400033444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,5,5,0,2.2,-2.2,-2.2,2.2,3.9,-3.9,3.9,-3.9,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,3.029931300028693,,,,3.0202988000237383,3.029931300028693,3.029931300028693,3.029931300028693,3.3197094000061043,3.320338800025638,3.3299288999987766,3.3299288999987766,3.3299288999987766,3.6198271000175737,3.629759700037539,3.629759700037539,3.629759700037539,3.3299288999987766,3.3299288999987766,3.3299288999987766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,6,6,0,2.2,-2.2,-2.2,2.2,3.8,-3.8,3.8,-3.8,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,3.629759700037539,,,,3.620686700043734,3.629759700037539,3.629759700037539,3.629759700037539,3.919570400030352,3.920197100029327,3.9299532000441104,3.9299532000441104,3.9299532000441104,4.219772800046485,4.229862300038803,4.229862300038803,4.229862300038803,3.9299532000441104,3.9299532000441104,3.9299532000441104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,7,7,0,2.2,-2.2,-2.2,2.2,3.7,-3.7,3.7,-3.7,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,4.229862300038803,,,,4.220630600000732,4.229862300038803,4.229862300038803,4.229862300038803,4.519518200017046,4.520144500012975,4.530019300000276,4.530019300000276,4.530019300000276,4.820066600048449,4.8297901000478305,4.8297901000478305,4.8297901000478305,4.530019300000276,4.530019300000276,4.530019300000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,8,8,0,2.2,-2.2,-2.2,2.2,3.6,-3.6,3.6,-3.6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,4.8297901000478305,,,,4.8209665000322275,4.8297901000478305,4.8297901000478305,4.8297901000478305,5.1195774000370875,5.12019839999266,5.129756600013934,5.129756600013934,5.129756600013934,5.416252100025304,5.428889300033916,5.428889300033916,5.428889300033916,5.129756600013934,5.129756600013934,5.129756600013934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,9,9,0,2.2,-2.2,-2.2,2.2,3.5,-3.5,3.5,-3.5,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,5.428889300033916,,,,5.416800400009379,5.428889300033916,5.428889300033916,5.428889300033916,5.718942800012883,5.719526000029873,5.7297596000134945,5.7297596000134945,5.7297596000134945,6.018916200031526,6.02974870003527,6.02974870003527,6.02974870003527,5.7297596000134945,5.7297596000134945,5.7297596000134945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
