12.4242 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
12.4249 	INFO 	Loaded monitor calibration from ['2025_03_11 15:24']
14.1543 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000270AF4E2650>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000270AF4E25F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000270AF5734F0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.1543 	EXP 	window1: backgroundImage = ''
14.1544 	EXP 	window1: backgroundFit = 'none'
14.1688 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1697 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1705 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1716 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1727 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1733 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1741 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1752 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1755 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1759 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1766 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1774 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1781 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1789 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1795 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1803 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
14.1811 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
