LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,key_resp_6.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_5.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_10.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_10.key_resp_7.keys,loop_10.key_resp_7.rt,loop_10.key_resp_7.duration,loop_10.key_resp_6.rt,loop_10.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_5,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,['up'],None,,,[0.20775949999983823],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.426946000000044,,,,,,5.4128361000000496,5.426946000000044,5.426946000000044,5.426946000000044,5.426946000000044,5.712551699999949,['up'],5.712828100000024,5.726662100000112,5.726662100000112,5.726662100000112,5.726662100000112,6.0266149000001406,6.0266149000001406,6.0266149000001406,6.0266149000001406,6.012563,None,5.726662100000112,5.726662100000112,5.726662100000112,5.726662100000112,,,[0.20775949999983823],[None],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,['up'],['up'],[0.018686099999968064],[0.11990869999999632],[0.01692830000001777],[0.15138090000004922],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0266149000001406,,,,,,6.012942700000167,6.0266149000001406,6.0266149000001406,6.0266149000001406,6.0266149000001406,6.32079560000011,['up'],6.321763099999998,6.3446182000000135,6.3446182000000135,6.3446182000000135,6.3446182000000135,,,,,6.61665650000009,['up'],,,,,[0.018686099999968064],[0.11990869999999632],[0.01692830000001777],[0.15138090000004922],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,"['right', 'right']",None,,,"[-0.008427799999935814, 0.18365560000006553]","[0.11250099999983831, None]",,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62765800000011,,,,,,6.617485500000157,6.62765800000011,6.62765800000011,6.62765800000011,6.62765800000011,6.916652999999997,"['right', 'right']",6.917216499999995,6.927773099999968,6.927773099999968,6.927773099999968,6.927773099999968,7.227803800000174,7.227803800000174,7.227803800000174,7.227803800000174,7.216679000000113,None,6.927773099999968,6.927773099999968,6.927773099999968,6.927773099999968,,,"[-0.008427799999935814, 0.18365560000006553]","[0.11250099999983831, None]",,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,"['right', 'right']","['right', 'right']","[0.011664800000062314, 0.15581729999985328]","[0.08770289999984016, None]","[-0.008968599999889193, 0.1271318000001429]","[0.03260249999993903, 0.08842479999998432]",,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.227803800000174,,,,,,7.217501900000116,7.227803800000174,7.227803800000174,7.227803800000174,7.227803800000174,7.516347799999949,"['right', 'right']",7.516939200000024,7.527651300000116,7.527651300000116,7.527651300000116,7.527651300000116,7.827821399999948,7.827821399999948,7.827821399999948,7.827821399999948,7.8150181000000885,"['right', 'right']",7.527651300000116,7.527651300000116,7.527651300000116,7.527651300000116,"[0.011664800000062314, 0.15581729999985328]","[0.08770289999984016, None]","[-0.008968599999889193, 0.1271318000001429]","[0.03260249999993903, 0.08842479999998432]",,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,"['up', 'up']",None,,,"[0.06354080000005524, 0.23917299999993702]","[0.07980840000004719, None]",,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.827821399999948,,,,,,7.81575829999997,7.827821399999948,7.827821399999948,7.827821399999948,7.827821399999948,8.113162500000044,"['up', 'up']",8.113494200000105,8.126861899999994,8.126861899999994,8.126861899999994,8.126861899999994,8.42694530000017,8.42694530000017,8.42694530000017,8.42694530000017,8.413117700000157,None,8.126861899999994,8.126861899999994,8.126861899999994,8.126861899999994,,,"[0.06354080000005524, 0.23917299999993702]","[0.07980840000004719, None]",,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42694530000017,,,,,,8.41354790000014,8.42694530000017,8.42694530000017,8.42694530000017,8.42694530000017,8.712547000000086,None,8.71280939999997,8.726811500000167,8.726811500000167,8.726811500000167,8.726811500000167,9.026746000000003,9.026746000000003,9.026746000000003,9.026746000000003,9.012528800000155,None,8.726811500000167,8.726811500000167,8.726811500000167,8.726811500000167,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.026746000000003,,,,,,9.0129065000001,9.026746000000003,9.026746000000003,9.026746000000003,9.026746000000003,9.31252540000014,None,9.312787500000013,9.326673100000107,9.326673100000107,9.326673100000107,9.326673100000107,9.626788400000123,9.626788400000123,9.626788400000123,9.626788400000123,9.612970900000164,None,9.326673100000107,9.326673100000107,9.326673100000107,9.326673100000107,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,None,['right'],[0.09309800000005453],[0.14316680000001725],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.626788400000123,,,,,,9.613343700000087,9.626788400000123,9.626788400000123,9.626788400000123,9.626788400000123,9.912612400000171,None,9.912886900000103,9.926763599999958,9.926763599999958,9.926763599999958,9.926763599999958,10.22665290000009,10.22665290000009,10.22665290000009,10.22665290000009,10.212695100000019,['right'],9.926763599999958,9.926763599999958,9.926763599999958,9.926763599999958,[0.09309800000005453],[0.14316680000001725],,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,['right'],None,,,[0.18453440000007504],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22665290000009,,,,,,10.213094100000035,10.22665290000009,10.22665290000009,10.22665290000009,10.22665290000009,10.512535500000013,['right'],10.512822099999994,10.526763800000026,10.526763800000026,10.526763800000026,10.526763800000026,10.826708499999995,10.826708499999995,10.826708499999995,10.826708499999995,10.812643900000012,None,10.526763800000026,10.526763800000026,10.526763800000026,10.526763800000026,,,[0.18453440000007504],[None],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,['right'],['up'],[0.2129002000001492],[None],[0.016280899999856047],[0.15217180000013286],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.826708499999995,,,,,,10.812980899999957,10.826708499999995,10.826708499999995,10.826708499999995,10.826708499999995,11.11279320000017,['right'],11.113084900000104,11.126772000000074,11.126772000000074,11.126772000000074,11.126772000000074,11.42686320000007,11.42686320000007,11.42686320000007,11.42686320000007,11.412655500000028,['up'],11.126772000000074,11.126772000000074,11.126772000000074,11.126772000000074,[0.2129002000001492],[None],[0.016280899999856047],[0.15217180000013286],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
