LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_5.keys,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,text_5.started,trial_5.stopped,loop_9.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,text_6.started,trial_6.stopped,loop_9.key_resp_7.keys,loop_9.key_resp_6.rt,loop_9.key_resp_6.duration,loop_9.key_resp_7.rt,loop_9.key_resp_7.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,text_3.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,text_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,text_4.stopped,trial_4.stopped,loop_6.key_resp_5.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01050159999999778,0.01095250000003034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0.24081070000011096,,,,0.015943500000048516,0.01622870000005605,0.1679526000000351,0.24081070000011096,0.24081070000011096,0.24081070000011096,0.24081070000011096,0.24081070000011096,0.3256687000000511,None,0.32590479999998934,0.34014079999997193,0.34014079999997193,0.34014079999997193,0.34014079999997193,0.34014079999997193,0.6257481000000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,0.6400911000000633,,,,,,0.6260899000001245,0.6400911000000633,0.6400911000000633,0.6400911000000633,0.6400911000000633,0.6400911000000633,0.925765500000125,None,0.9260177000001022,0.9401621000001796,0.9401621000001796,0.9401621000001796,0.9401621000001796,0.9401621000001796,1.2255905000001803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,1.240178300000025,,,,,,1.2259530999999697,1.240178300000025,1.240178300000025,1.240178300000025,1.240178300000025,1.240178300000025,1.5255382000000282,None,1.5257731000001513,1.5402635000000373,1.5402635000000373,1.5402635000000373,1.5402635000000373,1.5402635000000373,1.8255533999999898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,['right'],None,[0.13278669999999693],[None],,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,1.8400281000001542,,,,,,1.825892900000099,1.8400281000001542,1.8400281000001542,1.8400281000001542,1.8400281000001542,1.8400281000001542,2.1256802000000334,['right'],2.125969599999962,2.140133500000047,2.140133500000047,2.140133500000047,2.140133500000047,2.140133500000047,2.425635100000136,None,[0.13278669999999693],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,['right'],,,[0.02501480000000811],[None],,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.4401454000001195,,,,,,2.4259814000001825,2.4401454000001195,2.4401454000001195,2.4401454000001195,2.4401454000001195,2.4401454000001195,2.7256472999999914,None,2.7258847000000515,2.7401362000000518,2.7401362000000518,2.7401362000000518,2.7401362000000518,2.7401362000000518,3.025579900000139,['right'],,,[0.02501480000000811],[None],,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.040167399999973,,,,,,3.025961900000084,3.040167399999973,3.040167399999973,3.040167399999973,3.040167399999973,3.040167399999973,3.325461500000074,None,3.325714100000141,3.3401102000000265,3.3401102000000265,3.3401102000000265,3.3401102000000265,3.3401102000000265,3.6256210000001374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,None,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.6401630000000296,,,,,,3.6259652000001097,3.6401630000000296,3.6401630000000296,3.6401630000000296,3.6401630000000296,3.6401630000000296,3.9258409999999913,None,3.92609890000017,3.940193700000009,3.940193700000009,3.940193700000009,3.940193700000009,3.940193700000009,4.225563100000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,['right'],None,[-0.002927100000079008],[0.08808640000006562],,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,4.240160900000092,,,,,,4.225959200000034,4.240160900000092,4.240160900000092,4.240160900000092,4.240160900000092,4.240160900000092,4.525607100000116,['right'],4.525860500000135,4.539972000000034,4.539972000000034,4.539972000000034,4.539972000000034,4.539972000000034,4.825618600000098,None,[-0.002927100000079008],[0.08808640000006562],,,,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
Estimulo_9,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,None,['right'],,,[0.12936169999989033],[None],,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,4.840159600000106,,,,,,4.825978700000178,4.840159600000106,4.840159600000106,4.840159600000106,4.840159600000106,4.840159600000106,5.12580620000017,None,5.126058100000137,5.1401215000000775,5.1401215000000775,5.1401215000000775,5.1401215000000775,5.1401215000000775,5.425768800000014,['right'],,,[0.12936169999989033],[None],,,,,,,,,,,,,,,,,,,,,,,,,045485,001,2025-03-26_15h39.46.920,Estimulo_ICE,2024.2.4,60.282326246715016,2025-03-26 15h39.51.394272 -0300,
