LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,loop_12.key_resp_7.rt,loop_12.key_resp_7.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_7.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_7.key_resp_5.keys,loop_7.key_resp_5.rt,loop_7.key_resp_5.duration,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_7.key_resp_4.rt,loop_7.key_resp_4.duration,loop_9.key_resp_6.keys,loop_9.key_resp_6.rt,loop_9.key_resp_6.duration,loop_9.key_resp_7.keys,loop_9.key_resp_7.rt,loop_9.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_12,10,10,0,2.2,-2.2,-2.2,2.2,2.09999999999998,-2.09999999999998,2.09999999999998,-2.09999999999998,['up'],['up'],[0.1941437999998925],[None],[0.11018719999992754],[0.12027580000017224],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,6.050676500000009,,,,6.036683000000039,6.050676500000009,6.050676500000009,6.050676500000009,6.050676500000009,6.336163800000122,['up'],6.336433900000202,6.350747100000035,6.350747100000035,6.350747100000035,6.350747100000035,6.636349800000062,['up'],[0.1941437999998925],[None],[0.11018719999992754],[0.12027580000017224],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,11,11,0,2.2,-2.2,-2.2,2.2,2.19999999999998,-2.19999999999998,2.19999999999998,-2.19999999999998,['right'],['up'],[0.05021080000005895],[None],[0.15011150000009366],[None],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,6.650642500000004,,,,6.636733800000002,6.650642500000004,6.650642500000004,6.650642500000004,6.650642500000004,6.936215400000037,['right'],6.9364867000001595,6.950797000000193,6.950797000000193,6.950797000000193,6.950797000000193,7.236165700000129,['up'],[0.05021080000005895],[None],[0.15011150000009366],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,12,12,0,2.2,-2.2,-2.2,2.2,2.29999999999998,-2.29999999999998,2.29999999999998,-2.29999999999998,['right'],"['up', 'right']",[0.09835969999994632],[None],"[0.20680399999992005, 0.23086160000002565]","[None, None]",,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,7.250776600000108,,,,7.23654670000019,7.250776600000108,7.250776600000108,7.250776600000108,7.250776600000108,7.536191500000086,['right'],7.536459600000171,7.550750700000208,7.550750700000208,7.550750700000208,7.550750700000208,7.836277400000199,"['up', 'right']",[0.09835969999994632],[None],"[0.20680399999992005, 0.23086160000002565]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,13,13,0,2.2,-2.2,-2.2,2.2,2.39999999999998,-2.39999999999998,2.39999999999998,-2.39999999999998,['right'],None,[0.2505063000000973],[None],,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,7.850878200000125,,,,7.836659800000007,7.850878200000125,7.850878200000125,7.850878200000125,7.850878200000125,8.136104900000191,['right'],8.136376800000107,8.150757400000202,8.150757400000202,8.150757400000202,8.150757400000202,8.436388800000032,None,[0.2505063000000973],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,14,14,0,2.2,-2.2,-2.2,2.2,2.49999999999998,-2.49999999999998,2.49999999999998,-2.49999999999998,"['up', 'up']",['right'],"[0.04205080000019734, 0.23391780000019935]","[0.04042759999992995, None]",[0.02214729999991505],[None],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,8.450845900000104,,,,8.436742600000116,8.450845900000104,8.450845900000104,8.450845900000104,8.450845900000104,8.736387900000182,"['up', 'up']",8.736646800000017,8.750794700000142,8.750794700000142,8.750794700000142,8.750794700000142,9.036187400000017,['right'],"[0.04205080000019734, 0.23391780000019935]","[0.04042759999992995, None]",[0.02214729999991505],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,15,15,0,2.2,-2.2,-2.2,2.2,2.59999999999998,-2.59999999999998,2.59999999999998,-2.59999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,9.050760300000093,,,,9.036570100000063,9.050760300000093,9.050760300000093,9.050760300000093,9.050760300000093,9.336325700000089,None,9.336571800000002,9.350713700000142,9.350713700000142,9.350713700000142,9.350713700000142,9.636112400000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,16,16,0,2.2,-2.2,-2.2,2.2,2.69999999999998,-2.69999999999998,2.69999999999998,-2.69999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,9.650746400000116,,,,9.636466800000107,9.650746400000116,9.650746400000116,9.650746400000116,9.650746400000116,9.936271700000134,None,9.93651560000012,9.950871500000176,9.950871500000176,9.950871500000176,9.950871500000176,10.236322200000131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,17,17,0,2.2,-2.2,-2.2,2.2,2.79999999999998,-2.79999999999998,2.79999999999998,-2.79999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,10.250655600000073,,,,10.236676800000168,10.250655600000073,10.250655600000073,10.250655600000073,10.250655600000073,10.53625420000003,None,10.536498600000186,10.550840200000039,10.550840200000039,10.550840200000039,10.550840200000039,10.836260700000139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,18,18,0,2.2,-2.2,-2.2,2.2,2.89999999999998,-2.89999999999998,2.89999999999998,-2.89999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,10.850647700000081,,,,10.836614100000133,10.850647700000081,10.850647700000081,10.850647700000081,10.850647700000081,11.136158000000023,None,11.136404200000015,11.150741600000174,11.150741600000174,11.150741600000174,11.150741600000174,11.436338300000216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,19,19,0,2.2,-2.2,-2.2,2.2,2.99999999999998,-2.99999999999998,2.99999999999998,-2.99999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,11.450745500000039,,,,11.43669460000001,11.450745500000039,11.450745500000039,11.450745500000039,11.450745500000039,11.736450100000184,None,11.736695600000076,11.750711300000148,11.750711300000148,11.750711300000148,11.750711300000148,12.036097900000186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
